,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
0,3DFYDSXB2W0F6WTGBC9O0IUI676UJ3,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851058;OriginalHitTemplateId:928390905;,14400,34S6N1K2ZVJIIJ9P40J3M1E6VOVHLW,A1SK0GV4SSOH1A,Submitted,Wed Nov 27 10:11:23 PST 2019,Wed Nov 27 10:11:27 PST 2019,Sat Nov 30 10:11:27 PST 2019,,,,4,100% (277/277),100% (277/277),100% (277/277),now continue,recent publications,1 - Not Similar At All,,
1,3DFYDSXB2W0F6WTGBC9O0IUI676UJ3,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851058;OriginalHitTemplateId:928390905;,14400,3JZQSN0I3QAIIV4IYJYN6OXLJSWFGQ,AWJ0LF6A0LXJN,Submitted,Wed Nov 27 10:11:57 PST 2019,Wed Nov 27 10:15:31 PST 2019,Sat Nov 30 10:15:31 PST 2019,,,,214,100% (259/259),100% (259/259),100% (259/259),now continue,recent publications,4,,
2,3DFYDSXB2W0F6WTGBC9O0IUI676UJ3,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851058;OriginalHitTemplateId:928390905;,14400,3Y9N9SS8LYBKQZEYCYWDZU5R3AC3DW,A1540UBS9SMV3Q,Submitted,Wed Nov 27 10:13:01 PST 2019,Wed Nov 27 10:13:30 PST 2019,Sat Nov 30 10:13:30 PST 2019,,,,29,100% (121/121),100% (121/121),100% (121/121),now continue,recent publications,1 - Not Similar At All,,
3,37OPIVELUU3Z0HKSH7PCO429MCAHA9,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851058;OriginalHitTemplateId:928390905;,14400,3M23Y66PO27PP7KYSQP01W3BE4L6SW,AGGJUBFTYXCCZ,Submitted,Wed Nov 27 10:08:16 PST 2019,Wed Nov 27 10:08:22 PST 2019,Sat Nov 30 10:08:22 PST 2019,,,,6,100% (6/6),100% (6/6),100% (6/6),mitigate the consequences,outcomes of all the,3,,
4,37OPIVELUU3Z0HKSH7PCO429MCAHA9,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851058;OriginalHitTemplateId:928390905;,14400,3PXX5PX6LXYRVNFZ7HKHRCVX6ZPBAQ,A1LZXNOD36P7C4,Submitted,Wed Nov 27 10:08:36 PST 2019,Wed Nov 27 10:08:43 PST 2019,Sat Nov 30 10:08:43 PST 2019,,,,7,100% (103/103),100% (103/103),100% (103/103),mitigate the consequences,outcomes of all the,2,,
5,37OPIVELUU3Z0HKSH7PCO429MCAHA9,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851058;OriginalHitTemplateId:928390905;,14400,3Z4AIRP3C6D2E250GUJ658TML87X1X,A9ZM1P6LBW79,Submitted,Wed Nov 27 10:09:50 PST 2019,Wed Nov 27 10:10:00 PST 2019,Sat Nov 30 10:10:00 PST 2019,,,,10,100% (47/47),100% (47/47),100% (47/47),mitigate the consequences,outcomes of all the,3,,
6,3SMIWMMK6151CGTFIBS3P8OQ83FWU0,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851058;OriginalHitTemplateId:928390905;,14400,351SEKWQS0HLCLM8IG1SVTEX31RMDT,A1LZXNOD36P7C4,Submitted,Wed Nov 27 10:10:42 PST 2019,Wed Nov 27 10:10:53 PST 2019,Sat Nov 30 10:10:53 PST 2019,,,,11,100% (103/103),100% (103/103),100% (103/103),provide both,as was noted in,1 - Not Similar At All,,
7,3SMIWMMK6151CGTFIBS3P8OQ83FWU0,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851058;OriginalHitTemplateId:928390905;,14400,358UUM7WRZ3WSSYQWBUNH0YBNDMR7S,A2LKB11B1PALLY,Submitted,Wed Nov 27 10:09:20 PST 2019,Wed Nov 27 10:09:29 PST 2019,Sat Nov 30 10:09:29 PST 2019,,,,9,100% (15/15),100% (15/15),100% (15/15),provide both,as was noted in,1 - Not Similar At All,,
8,3SMIWMMK6151CGTFIBS3P8OQ83FWU0,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851058;OriginalHitTemplateId:928390905;,14400,3WMOAN2SRBXDOK7UL2GMEU948Y4NVS,A34M93NJC830DP,Submitted,Wed Nov 27 10:09:18 PST 2019,Wed Nov 27 10:09:28 PST 2019,Sat Nov 30 10:09:28 PST 2019,,,,10,100% (39/39),100% (39/39),100% (39/39),provide both,as was noted in,1 - Not Similar At All,,
9,356ZPKYPUHHS9GGJGQBX0ZM7BUNPYW,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851058;OriginalHitTemplateId:928390905;,14400,30JNVC0OR9KT9GP2W5RZ3ND05UGQHS,A2B6IFOZY2D4A4,Submitted,Wed Nov 27 10:09:06 PST 2019,Wed Nov 27 10:09:21 PST 2019,Sat Nov 30 10:09:21 PST 2019,,,,15,100% (469/469),100% (469/469),100% (469/469),was seeking to,"weapons , ammunition and",1 - Not Similar At All,,
