text_1,text_2,label,ROUGE-1 recall,ROUGE-1 precision,ROUGE-1 F,ROUGE-2 recall,ROUGE-2 precision,ROUGE-2 F,ROUGE-L recall,ROUGE-L precision,ROUGE-L F
take measures in order to,take additional measures to,4.0,0.6,0.75,0.6666666666666665,0.0,0.0,0.0,0.6,0.75,0.6666666666666665
was seeking to,will strive to,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
canada aims to,canada works to,2.333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
refugees and,refugee population,2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
measures and,"instruments , and",3.0,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.5,0.3333333333333333,0.4
provide both,", is provided",3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
policy goals,political goals,4.333,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
of non-governmental organisations,for non-governmental organizations,4.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
of the service,of services are,3.333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
resource availability .,of the resources available .,5.0,0.3333333333333333,0.2,0.25,0.0,0.0,0.0,0.3333333333333333,0.2,0.25
all nations that,all the countries that,5.0,0.6666666666666666,0.5,0.5714285714285715,0.0,0.0,0.0,0.6666666666666666,0.5,0.5714285714285715
now continue,in continuing,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the issue of,the questions of,3.667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
not already,there were no,1.6669999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
two types,two different types,4.667,1.0,0.6666666666666666,0.8,0.0,0.0,0.0,1.0,0.6666666666666666,0.8
you doing up there,you doin ' up here,5.0,0.5,0.4,0.4444444444444445,0.0,0.0,0.0,0.5,0.4,0.4444444444444445
", religions",religious and,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matters that are,"subject matter ,",2.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continues to play an,there continues to be a,3.333,0.5,0.4,0.4444444444444445,0.3333333333333333,0.25,0.28571428571428575,0.5,0.4,0.4444444444444445
mitigate the consequences,reduce the impact,5.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
", in certain instances",", in some instances",4.667,0.75,0.75,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75
of alternative measures,of other measures,4.667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
be improved,be consolidated,3.333,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
p.m. to 4:00 p.m.,a.m. to 4 p.m.,3.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
did n't he,do n't know what it is,2.667,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
you are about,you 're not gonna,2.667,0.3333333333333333,0.25,0.28571428571428575,0.0,0.0,0.0,0.3333333333333333,0.25,0.28571428571428575
police investigations,an investigation,2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and the human rights,", and rights",3.333,0.5,0.6666666666666666,0.5714285714285715,0.0,0.0,0.0,0.5,0.6666666666666666,0.5714285714285715
is colonel,'s colonel,4.333,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
", including in particular the",", particularly those of",2.667,0.2,0.25,0.22222222222222224,0.0,0.0,0.0,0.2,0.25,0.22222222222222224
been permitted to,is allowed to,4.333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
is considered that,is believed that,3.333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
of human trafficking .,the trafficking of human beings .,3.333,1.0,0.6666666666666666,0.8,0.3333333333333333,0.2,0.25,0.75,0.5,0.6
of the commission for the,committees on,1.3330000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it is committed,the government is committed,2.333,0.6666666666666666,0.5,0.5714285714285715,0.5,0.3333333333333333,0.4,0.6666666666666666,0.5,0.5714285714285715
- when did you,"well , did you",3.333,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5
