text_1,text_2,label,POS dist score
take measures in order to,take additional measures to,4.0,0.0
was seeking to,will strive to,3.0,-1.0
canada aims to,canada works to,2.333,0.0
refugees and,refugee population,2.667,7.291479587554932
measures and,"instruments , and",3.0,6.255743980407715
provide both,", is provided",3.667,-1.0
policy goals,political goals,4.333,0.0
of non-governmental organisations,for non-governmental organizations,4.0,2.602788209915161
of the service,of services are,3.333,3.3534908294677734
resource availability .,of the resources available .,5.0,4.869043350219727
all nations that,all the countries that,5.0,4.615415096282959
now continue,in continuing,4.0,-1.0
the issue of,the questions of,3.667,5.609172344207764
not already,there were no,1.6669999999999998,-1.0
two types,two different types,4.667,0.0
you doing up there,you doin ' up here,5.0,-1.0
", religions",religious and,3.333,-1.0
matters that are,"subject matter ,",2.333,3.660905361175537
continues to play an,there continues to be a,3.333,-1.0
mitigate the consequences,reduce the impact,5.0,5.2548828125
", in certain instances",", in some instances",4.667,0.0
of alternative measures,of other measures,4.667,0.0
be improved,be consolidated,3.333,-1.0
p.m. to 4:00 p.m.,a.m. to 4 p.m.,3.0,0.0
did n't he,do n't know what it is,2.667,-1.0
you are about,you 're not gonna,2.667,-1.0
police investigations,an investigation,2.667,5.280503273010254
and the human rights,", and rights",3.333,0.0
is colonel,'s colonel,4.333,0.0
", including in particular the",", particularly those of",2.667,-1.0
been permitted to,is allowed to,4.333,-1.0
is considered that,is believed that,3.333,-1.0
of human trafficking .,the trafficking of human beings .,3.333,0.0
of the commission for the,committees on,1.3330000000000002,6.210408687591553
it is committed,the government is committed,2.333,-1.0
- when did you,"well , did you",3.333,-1.0
we have to go .,we should get going .,3.0,-1.0
and the mark,and the trade mark,4.667,0.0
", detailed",issue in detail,4.333,-1.0
was an emergency,was urgent,2.667,-1.0
those wishing to,persons who wish to,4.333,-1.0
others and,other jurisdictions and,3.333,8.027483940124512
convention provides,convention shall be,4.0,0.0
both employers,the employer shall,3.0,3.7449049949645996
compromise is,compromise proposed,3.333,0.0
is anxious to,is intended to,3.667,-1.0
considerably better,much better,3.667,-1.0
"additionally , it","in addition , it has",3.667,-1.0
proposals presented in,the proposals contained in,3.333,0.0
works well,are working,1.6669999999999998,-1.0
report addresses,report is,3.667,0.0
"of treaties ,",nations treaty,2.333,9.98090934753418
it is concerned that,it notes with concern that,4.0,-1.0
"fight against racism ,","fighting racism ,",3.0,0.0
provides an overview of the,gives an overview of,3.667,0.0
data are available,data base,2.667,0.0
note with appreciation that,note with satisfaction that,4.0,2.9621806144714355
of the following draft decision :,the following draft resolutions :,4.333,2.7553751468658447
"yes , she is","yeah , i 'm sure",3.667,2.205235004425049
ability to,they are able to,2.667,-1.0
we are confident that,we strongly believe that,4.667,-1.0
provincial governments,in the provinces,2.667,4.713537216186523
- everything is,- that 's all,2.333,-1.0
"- yeah , i do","- yes , he did",4.333,3.3078525066375732
be regarded as a,be considered to be an,3.667,-1.0
withdraw,considered withdrawn,4.0,5.067579746246338
of the highest importance,of the greatest importance,4.333,0.0
invited committee members,invited the committee,3.333,0.0
very sorry,"sorry , guys",4.667,-1.0
is implemented in,be applied in,2.0,-1.0
the contents,the content,5.0,5.391407489776611
arguments presented,-rrb- arguments,3.0,0.0
has all along been,have long been,4.667,-1.0
the policy objectives,the aims and objectives,2.667,2.5271053314208984
responding to questions,answer the questions,4.333,0.0
fair and adequate,fair and appropriate,3.667,2.4745986461639404
is just not,'s just not,4.333,-1.0
is to ensure that,guaranteeing that,3.0,-1.0
further consideration of the item,discussion of the topic,3.667,5.168469429016113
preventing the use,prevention of the use,4.333,0.0
men were,two men were,3.333,0.0
you are all,you 're all,4.333,-1.0
of qualifications and,of skills and,3.667,5.530797004699707
is an important stage,is an important step,2.333,5.291430473327637
prepared by,report prepared by,4.667,-1.0
such issues should be,these issues should be,4.0,0.0
regarding the application of the,on the operation of the,3.667,5.737144947052002
to discuss,to be considered in,3.0,-1.0
3/12/2005 ad -lrb- updated,", 20/11/2005 ad -lrb- updated",2.333,0.0
do n't know what happened,do n't know anything,3.667,-1.0
of the society,community was,2.667,4.508908748626709
accordance with the provisions of article,provided for in article,2.0,0.0
include the following :,will be the following :,2.0,0.0
on implementing the,concerning the implementation of the,4.0,-1.0
recommendations of the task,recommendations of the panel of,3.667,2.6118388175964355
of ammunition,"munitions ,",1.6669999999999998,5.456892013549805
outlined that,"indicated that ,",3.667,-1.0
neither is,", nor was",3.0,-1.0
", the board established",", the council established",3.0,4.331852436065674
presented by,pointed out by,3.0,-1.0
was noticeably,have been distinctly,4.333,-1.0
let 's get to it,"right , let 's get going",3.0,-1.0
distributed to,to submit to,2.0,-1.0
have put in place,has put,3.333,-1.0
including references to,have referred to,4.667,-1.0
"committee , having",the commission on the,3.667,4.057036876678467
probe into,investigation was,2.333,3.416604995727539
go forward with,go ahead with,5.0,-1.0
now i feel,i 've been feeling,3.667,5.000731468200684
is therefore important,is why it is important,3.667,-1.0
or programs,"programmes , as well",2.0,4.765869617462158
take responsibility for,be responsible for,5.0,-1.0
i 'm an idiot,i 'm such an idiot,4.667,0.0
", including where",", particularly where",3.667,-1.0
- you did n't,- i do n't believe this,2.0,-1.0
its grave concern at :,its serious concern at :,4.667,0.0
", having regard to the",in respecting the,3.0,-1.0
conflict resolution,conflicts have,3.0,6.550683975219727
be utilized for,to be used for,3.667,-1.0
enter into force,brought into force,4.667,0.0
followed closely,has been closely following,4.667,-1.0
greater participation of,greater involvement of,4.333,5.216133117675781
continue its consideration of this matter,continue consideration of this issue,4.333,2.667520046234131
all members of,the states members of,4.0,0.0
you 're talking,you talk,3.333,-1.0
", particularly the","and , in particular , the",3.667,-1.0
seems to be an,now seems to,2.667,-1.0
endangered wildlife in,endangered species in,2.333,5.487267017364502
", activities and","operations , and",3.0,5.8608832359313965
/ or recommendations,audit recommendations,2.667,2.8990137577056885
purposes are,"goals and objectives ,",4.0,12.332084655761719
you worry,you 're worried about,4.333,-1.0
report refers to the,report mentions the,5.0,3.27425217628479
relating to the situation in,regarding the situation in,4.667,0.0
provincial and territorial,the provinces and territories,3.667,-1.0
provisional agreement,interim agreement,3.333,0.0
why do i say that,why would they be doing that,3.0,-1.0
center of gaza strip,central gaza strip,4.667,0.0
on the question of the,on the issue of,3.0,5.311727523803711
are reproduced in annex,appear in annex,3.0,0.0
"- yes , she did","yes , that 's it",3.333,-1.0
advice from the,to the views of the,3.0,6.578498840332031
have thus been,have therefore been,3.333,-1.0
referred to in paragraph,referred to in section,4.333,6.459479331970215
are accepted,is to be adopted,2.0,-1.0
"of data ,",data are available,2.667,0.0
certain circumstances -lrb-,some cases -lrb-,4.667,7.062439441680908
are fundamental,is a key factor,3.0,-1.0
- how 're you doing,- how you doing,4.0,-1.0
a bit tired,really tired,3.667,-1.0
various regional groups,regional groups,3.667,0.0
relationships are,relations officer,1.6669999999999998,12.912805557250977
given time,given point in time,3.0,0.0
attach importance to,attached special importance to,3.667,0.0
police officers and,", the police and",3.333,0.0
used to think that,was just thinking that,3.333,-1.0
assumed responsibility,they are responsible for,3.667,-1.0
departments of education,ministry of education,4.333,2.4386579990386963
of the tribunal for the,of the courts to,3.0,6.03871488571167
it supported the,and endorsed the,2.0,-1.0
"dominic , i am so sorry",- i 'm sorry,4.0,2.8268868923187256
aims to,is making an effort to,2.333,5.761846542358398
's very important for,was very important for,4.667,-1.0
everything looks,all this is,3.333,-1.0
apply them,to be implemented,3.667,-1.0
of small arms .,of use of nuclear weapons .,2.0,12.142602920532227
non-governmental organizations,the non-governmental organisations,4.333,2.602788209915161
are implemented,be put into effect,3.333,-1.0
is illustrated in,is listed in,4.0,-1.0
and the costs of,and cost of,5.0,2.717648506164551
of people with disabilities,of persons with disabilities,5.0,2.664078712463379
are at present,is currently the,3.0,-1.0
been actively involved,actively engaged,5.0,-1.0
participate effectively in,be actively involved in,3.667,-1.0
's hard to believe,is hard to believe,4.0,-1.0
but were,", but rather that",3.333,-1.0
all necessary steps to,all measures necessary,4.667,5.243022918701172
the baltic states,the baltic sea,2.667,7.225298881530762
the goals set out in,the objectives set forth in,3.0,13.528999328613281
each state party to,states parties to,3.667,4.317994117736816
documentation and,documents and to,4.0,4.979946136474609
will leave,'m leaving,3.667,-1.0
plenary meetings and,plenary sessions and,3.667,4.509848594665527
", but rather that",", but it is",3.333,-1.0
cases even,case then,3.667,3.7155845165252686
"report , dated",report of the work of the,3.333,0.0
agreement reached,to reaching,1.3330000000000002,-1.0
development of a,of setting up a,3.667,-1.0
persons with reduced mobility,passengers with reduced mobility,5.0,3.2686688899993896
the knowledge and,the skills and,2.667,4.947863578796387
measured in,measured during,4.0,-1.0
", the sources said",the officials said,4.667,4.905786991119385
had originally been,had initially been,4.667,-1.0
and we are,", and we stand",3.667,-1.0
most of its,the majority of its,2.667,-1.0
where are you taking him ?,wh-where are you taking him ?,4.667,-1.0
concepts and,to the principles and,2.667,4.7115960121154785
"yes , that 's true .","yes , it does .",2.333,-1.0
of facilitating and,facilitation and,4.333,4.4850993156433105
to implement its,to carry out the,4.333,-1.0
rates at,rate is,3.0,3.9932334423065186
strives to,to pursue efforts to,3.333,6.890924453735352
are currently under,is under way,4.667,-1.0
's what it is,'s exactly right,3.0,-1.0
and non-governmental organizations ;,and ngos ;,4.333,5.125868320465088
established within,created in,3.333,-1.0
moved forward,move ahead,3.667,-1.0
is thanks to,thank you to,2.667,2.30716872215271
these programmes,the two programmes,4.667,0.0
their special needs,their particular needs,4.333,0.0
the euro area,the euro zone,3.667,10.479456901550293
a view to improving,to help improve,3.333,-1.0
's losing,is losing,3.333,-1.0
legal regulations,of regulations,3.667,0.0
and the outcome,and the results,4.667,4.728340148925781
will be issued in,will be included in,4.667,-1.0
generating electricity,produce electricity,3.667,0.0
required by the,", in accordance with the",2.667,-1.0
miles away,kilometres away,3.0,6.196413040161133
n't leave you,n't let you,3.667,-1.0
a rise in,has been an increase in,3.667,4.906641483306885
"oh , uh , yeah","yes , the hell there is",2.333,-1.0
that 's exactly who i am,that 's correct,2.667,-1.0
partnership established,"partnership """,4.0,0.0
are very close .,'re so close .,2.333,-1.0
came back,was coming,2.0,-1.0
even dressed,dressed,4.0,-1.0
were different,to differ,2.667,-1.0
products and services in,product and service,4.333,3.523634672164917
relevant legislation,laws and regulations,4.0,7.813544273376465
speculate that,is suggested that,3.667,-1.0
reports presented to the,reports before the,4.0,0.0
best contribute to,contribute to,3.667,0.0
for the purposes,only for the purpose,4.333,4.8867950439453125
"right , right , yeah","yes , it is",3.667,-1.0
i 'm not scared,- i 'm not afraid,5.0,0.0
approximately 200 000,about 200 000,2.0,-1.0
achievement of the goals of the,achieve the goals of the,4.333,0.0
's coming this way .,'m coming in .,3.667,-1.0
appropriate ways to,ways and means of,3.667,0.0
also encourages the,also calls upon the,2.333,-1.0
is an issue that,is a subject that,2.0,4.79332160949707
funds will,funding is,2.667,3.280036449432373
resources to,"available resources , to",3.667,0.0
listed in annex,contained in annex,4.0,0.0
"thoughts , no","- no , dad",2.333,-1.0
- so what happened ?,"-well , what happened ?",4.667,-1.0
educational system in,education system in,4.667,0.0
once again reiterate,once again reaffirms,3.0,-1.0
", as are the",as well as on the,2.667,-1.0
routes used,routes of,3.667,0.0
was pleased to note that,notes with satisfaction that,4.333,-1.0
", arrived here",arrived in the,4.0,-1.0
- these are,"- well , this is",1.3330000000000002,-1.0
is over .,'s all over .,3.0,-1.0
of supporting and,'s support of,3.667,-1.0
ask the secretary-general,requested the secretary- general,3.0,-1.0
parties to the treaty,the states parties to the treaty,4.0,0.0
beginning of the first,start of the first,4.667,4.632880687713623
are benefiting from,take advantage of,4.0,-1.0
"by its president ,",by the chairman,3.333,5.374861240386963
be necessary for the,was essential for,4.0,-1.0
that situation,such a situation,3.333,0.0
attention is paid,pay attention to the,4.667,0.0
add to the,", contributing to the",3.0,-1.0
you 're pretty,you look pretty,5.0,-1.0
board of directors and the,board and the,3.0,0.0
resources and,", natural resources and",4.0,0.0
and the suggestions,and propositions,4.333,5.312259674072266
am in favour of,expressed support for,3.0,5.780595302581787
"no , we wo n't","no , he does n't",2.333,-1.0
grown increasingly,becoming ever more,3.333,-1.0
sbi decided to,sbi agreed to,4.0,0.0
are attending,participate in the,3.0,-1.0
which was indispensable,which was vital,3.333,-1.0
of not less than 3,of not less than three,4.0,-1.0
of russia 's,of russia,4.667,0.0
would help to,is instrumental in,3.0,-1.0
this is not a toy,it 's not a toy,5.0,0.0
scared to death,really scared,3.667,-1.0
have an opportunity,were given the opportunity,3.667,0.0
shall be defined by,are established by,3.667,-1.0
require for,needed to be,4.0,-1.0
is ensuring that,is to guarantee that,4.333,-1.0
there is still,there may be,3.333,-1.0
risen significantly,increased substantially,3.667,-1.0
is of vital importance that,is necessary that,3.0,-1.0
of participating,of engaging in,3.667,-1.0
it has become a,has now become a,4.333,-1.0
has reviewed and considered,considered by,4.667,-1.0
is primarily due to,is largely due to,4.667,-1.0
", with special emphasis",", including , in particular",2.667,-1.0
targeted,well targeted,4.333,-1.0
intensive debate,intense debate,3.333,0.0
indicated that they,indicates that he,3.667,-1.0
countries members of the,countries in the,3.333,0.0
it was a party to,is a state party to,3.333,0.0
"now , however ,","there is , however ,",2.333,-1.0
very crucial,very critical,5.0,-1.0
took place during,had taken place in,4.333,0.0
almost 25 per cent,nearly 25 per cent,5.0,0.0
is crucial that,is vitally important for,2.667,-1.0
council members held,the members of the council welcomed,3.333,0.0
showed that it,demonstrated that it,4.0,-1.0
"- yeah , that 's it","- yes , he did",3.333,2.205235004425049
equal treatment of men and,equality between men and,3.333,3.5497546195983887
'm wondering,wonder,4.0,-1.0
", i wish to begin",", i should like to begin",4.667,-1.0
has been actively engaged in,has been active in,3.0,-1.0
participating in,are invited to participate in the,2.333,-1.0
is vitally important,is imperative,3.333,-1.0
correspondents and,reporter and,2.333,6.778939723968506
reporting guidelines,""" guidelines",4.333,0.0
really were,'re really,1.6669999999999998,-1.0
are fairly,are relatively more,2.0,-1.0
of basic rights,"for fundamental rights ,",4.667,0.0
", the panel found",", the committee found",3.667,4.46291971206665
of contacts between new,of the relationship between the,3.667,7.450711727142334
is crucial to,would be important to,4.0,-1.0
significantly increased,much more significant,3.0,-1.0
and the next day,"the following day ,",4.667,0.0
what were your intentions,"why , what 's the matter",2.667,6.063336372375488
of the opinion that,are of the view that,5.0,5.725422382354736
their member states,their members,2.333,5.48105001449585
an increase of almost,an increase of nearly,3.667,0.0
is a major component,are an important part,3.333,6.473460674285889
are certainly,have actually,4.333,-1.0
", the council is",", the council extended",3.0,0.0
", this is a",this represents an,4.333,-1.0
", resulting from the",derived from the,3.667,-1.0
"so , what is it ?",what 's all this ?,4.333,-1.0
levels in,level -lrb-,3.333,4.502447128295898
presented in,was reported in,4.333,-1.0
council was,"security council ,",3.333,0.0
opportunity to present,the possibility of submitting,3.333,5.364392280578613
is absolutely,is all very,2.667,-1.0
becoming members,become part,3.667,5.2539448738098145
