,text_1,text_2,label,L2_score
0,take measures in order to,take additional measures to,4.0,14.48609733581543
1,was seeking to,will strive to,3.0,17.370439529418945
2,canada aims to,canada works to,2.333,14.985574722290039
3,refugees and,refugee population,2.667,25.314369201660156
4,measures and,"instruments , and",3.0,19.087221145629883
5,provide both,", is provided",3.667,22.492233276367188
6,policy goals,political goals,4.333,19.216856002807617
7,of non-governmental organisations,for non-governmental organizations,4.0,13.539595603942871
8,of the service,of services are,3.333,16.220325469970703
9,resource availability .,of the resources available .,5.0,19.37296485900879
10,all nations that,all the countries that,5.0,10.241010665893555
11,now continue,in continuing,4.0,21.298194885253906
12,the issue of,the questions of,3.667,18.159440994262695
13,not already,there were no,1.6669999999999998,24.8941593170166
14,two types,two different types,4.667,13.50918960571289
15,you doing up there,you doin ' up here,5.0,13.731596946716309
16,", religions",religious and,3.333,25.19405746459961
17,matters that are,"subject matter ,",2.333,22.855083465576172
18,continues to play an,there continues to be a,3.333,18.242429733276367
19,mitigate the consequences,reduce the impact,5.0,17.46140480041504
20,", in certain instances",", in some instances",4.667,9.118974685668945
21,of alternative measures,of other measures,4.667,14.926322937011719
22,be improved,be consolidated,3.333,16.116682052612305
23,p.m. to 4:00 p.m.,a.m. to 4 p.m.,3.0,11.7014741897583
24,did n't he,do n't know what it is,2.667,18.06120491027832
25,you are about,you 're not gonna,2.667,18.06676483154297
26,police investigations,an investigation,2.667,23.507658004760742
27,and the human rights,", and rights",3.333,19.02093505859375
28,is colonel,'s colonel,4.333,16.422029495239258
29,", including in particular the",", particularly those of",2.667,15.37780475616455
30,been permitted to,is allowed to,4.333,12.226200103759766
31,is considered that,is believed that,3.333,13.965486526489258
32,of human trafficking .,the trafficking of human beings .,3.333,16.079044342041016
33,of the commission for the,committees on,1.3330000000000002,22.92567253112793
34,it is committed,the government is committed,2.333,13.094120979309082
35,- when did you,"well , did you",3.333,14.874073028564453
36,we have to go .,we should get going .,3.0,13.29201602935791
37,and the mark,and the trade mark,4.667,13.942352294921875
38,", detailed",issue in detail,4.333,21.027751922607422
39,was an emergency,was urgent,2.667,18.467458724975586
40,those wishing to,persons who wish to,4.333,16.51264762878418
41,others and,other jurisdictions and,3.333,17.3852481842041
42,convention provides,convention shall be,4.0,19.92803955078125
43,both employers,the employer shall,3.0,22.2641544342041
44,compromise is,compromise proposed,3.333,16.070087432861328
45,is anxious to,is intended to,3.667,17.291820526123047
46,considerably better,much better,3.667,16.946279525756836
47,"additionally , it","in addition , it has",3.667,12.442936897277832
48,proposals presented in,the proposals contained in,3.333,16.108394622802734
49,works well,are working,1.6669999999999998,23.914043426513672
50,report addresses,report is,3.667,17.034860610961914
51,"of treaties ,",nations treaty,2.333,23.247478485107422
52,it is concerned that,it notes with concern that,4.0,14.63320255279541
53,"fight against racism ,","fighting racism ,",3.0,13.588043212890625
54,provides an overview of the,gives an overview of,3.667,11.539027214050293
55,data are available,data base,2.667,22.439661026000977
56,note with appreciation that,note with satisfaction that,4.0,10.74191951751709
57,of the following draft decision :,the following draft resolutions :,4.333,14.22455883026123
58,"yes , she is","yeah , i 'm sure",3.667,16.300174713134766
59,ability to,they are able to,2.667,20.544734954833984
60,we are confident that,we strongly believe that,4.667,14.589335441589355
61,provincial governments,in the provinces,2.667,23.696870803833008
62,- everything is,- that 's all,2.333,15.889634132385254
63,"- yeah , i do","- yes , he did",4.333,13.765803337097168
64,be regarded as a,be considered to be an,3.667,13.498687744140625
65,withdraw,considered withdrawn,4.0,26.865747451782227
66,of the highest importance,of the greatest importance,4.333,9.87380313873291
67,invited committee members,invited the committee,3.333,14.153250694274902
68,very sorry,"sorry , guys",4.667,20.32459831237793
69,is implemented in,be applied in,2.0,16.294740676879883
70,the contents,the content,5.0,13.471684455871582
71,arguments presented,-rrb- arguments,3.0,22.838651657104492
72,has all along been,have long been,4.667,18.261184692382812
73,the policy objectives,the aims and objectives,2.667,15.04871654510498
74,responding to questions,answer the questions,4.333,19.5116024017334
75,fair and adequate,fair and appropriate,3.667,8.605074882507324
76,is just not,'s just not,4.333,12.21117115020752
77,is to ensure that,guaranteeing that,3.0,19.236188888549805
78,further consideration of the item,discussion of the topic,3.667,16.461381912231445
79,preventing the use,prevention of the use,4.333,16.073335647583008
80,men were,two men were,3.333,14.959968566894531
81,you are all,you 're all,4.333,8.322778701782227
82,of qualifications and,of skills and,3.667,13.053343772888184
83,is an important stage,is an important step,2.333,10.704848289489746
84,prepared by,report prepared by,4.667,16.71383285522461
85,such issues should be,these issues should be,4.0,9.248385429382324
86,regarding the application of the,on the operation of the,3.667,14.348828315734863
87,to discuss,to be considered in,3.0,20.17018699645996
88,3/12/2005 ad -lrb- updated,", 20/11/2005 ad -lrb- updated",2.333,8.188982963562012
89,do n't know what happened,do n't know anything,3.667,11.846673011779785
90,of the society,community was,2.667,23.804380416870117
91,accordance with the provisions of article,provided for in article,2.0,19.965946197509766
92,include the following :,will be the following :,2.0,13.666609764099121
93,on implementing the,concerning the implementation of the,4.0,15.927956581115723
94,recommendations of the task,recommendations of the panel of,3.667,14.289993286132812
95,of ammunition,"munitions ,",1.6669999999999998,23.147384643554688
96,outlined that,"indicated that ,",3.667,19.006019592285156
97,neither is,", nor was",3.0,20.192466735839844
98,", the board established",", the council established",3.0,11.701556205749512
99,presented by,pointed out by,3.0,21.732999801635742
100,was noticeably,have been distinctly,4.333,20.10350227355957
101,let 's get to it,"right , let 's get going",3.0,13.023186683654785
102,distributed to,to submit to,2.0,23.942251205444336
103,have put in place,has put,3.333,15.995108604431152
104,including references to,have referred to,4.667,20.0915470123291
105,"committee , having",the commission on the,3.667,19.239290237426758
106,probe into,investigation was,2.333,22.09037971496582
107,go forward with,go ahead with,5.0,13.819725036621094
108,now i feel,i 've been feeling,3.667,17.880022048950195
109,is therefore important,is why it is important,3.667,16.3114070892334
110,or programs,"programmes , as well",2.0,19.703243255615234
111,take responsibility for,be responsible for,5.0,17.77272605895996
112,i 'm an idiot,i 'm such an idiot,4.667,8.965688705444336
113,", including where",", particularly where",3.667,12.663190841674805
114,- you did n't,- i do n't believe this,2.0,15.221678733825684
115,its grave concern at :,its serious concern at :,4.667,8.467111587524414
116,", having regard to the",in respecting the,3.0,17.473644256591797
117,conflict resolution,conflicts have,3.0,23.47133445739746
118,be utilized for,to be used for,3.667,12.23599624633789
119,enter into force,brought into force,4.667,20.92716407775879
120,followed closely,has been closely following,4.667,22.740495681762695
121,greater participation of,greater involvement of,4.333,12.246859550476074
122,continue its consideration of this matter,continue consideration of this issue,4.333,9.060458183288574
123,all members of,the states members of,4.0,16.40079116821289
124,you 're talking,you talk,3.333,16.33790397644043
125,", particularly the","and , in particular , the",3.667,12.876206398010254
126,seems to be an,now seems to,2.667,16.6505069732666
127,endangered wildlife in,endangered species in,2.333,12.52979564666748
128,", activities and","operations , and",3.0,15.234260559082031
129,/ or recommendations,audit recommendations,2.667,25.195215225219727
130,purposes are,"goals and objectives ,",4.0,24.298803329467773
131,you worry,you 're worried about,4.333,17.04366683959961
132,report refers to the,report mentions the,5.0,15.450235366821289
133,relating to the situation in,regarding the situation in,4.667,9.212143898010254
134,provincial and territorial,the provinces and territories,3.667,23.64565086364746
135,provisional agreement,interim agreement,3.333,16.522655487060547
136,why do i say that,why would they be doing that,3.0,15.046682357788086
137,center of gaza strip,central gaza strip,4.667,17.63150978088379
138,on the question of the,on the issue of,3.0,12.433405876159668
139,are reproduced in annex,appear in annex,3.0,14.231313705444336
140,"- yes , she did","yes , that 's it",3.333,13.101480484008789
141,advice from the,to the views of the,3.0,19.08568000793457
142,have thus been,have therefore been,3.333,9.19999885559082
143,referred to in paragraph,referred to in section,4.333,9.53602409362793
144,are accepted,is to be adopted,2.0,19.350570678710938
145,"of data ,",data are available,2.667,20.239999771118164
146,certain circumstances -lrb-,some cases -lrb-,4.667,22.47487449645996
147,are fundamental,is a key factor,3.0,21.17081069946289
148,- how 're you doing,- how you doing,4.0,10.296757698059082
149,a bit tired,really tired,3.667,19.48805809020996
150,various regional groups,regional groups,3.667,13.209321975708008
151,relationships are,relations officer,1.6669999999999998,26.161598205566406
152,given time,given point in time,3.0,17.830219268798828
153,attach importance to,attached special importance to,3.667,15.934852600097656
154,police officers and,", the police and",3.333,17.005464553833008
155,used to think that,was just thinking that,3.333,17.02212142944336
156,assumed responsibility,they are responsible for,3.667,23.752351760864258
157,departments of education,ministry of education,4.333,18.204687118530273
158,of the tribunal for the,of the courts to,3.0,14.636293411254883
159,it supported the,and endorsed the,2.0,15.714245796203613
160,"dominic , i am so sorry",- i 'm sorry,4.0,13.9703950881958
161,aims to,is making an effort to,2.333,20.439945220947266
162,'s very important for,was very important for,4.667,11.59713077545166
163,everything looks,all this is,3.333,23.78460693359375
164,apply them,to be implemented,3.667,25.602903366088867
165,of small arms .,of use of nuclear weapons .,2.0,19.941635131835938
166,non-governmental organizations,the non-governmental organisations,4.333,14.965412139892578
167,are implemented,be put into effect,3.333,20.37076187133789
168,is illustrated in,is listed in,4.0,17.006248474121094
169,and the costs of,and cost of,5.0,13.650266647338867
