,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
0,301KG0KX9CLAVEPO4SWXIMJBAOD2HI,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851041;OriginalHitTemplateId:928390905;,14400,38F71OA9GTWIA5049MWIJTHIFDVMFQ,AWJ0LF6A0LXJN,Submitted,Wed Nov 27 09:52:49 PST 2019,Wed Nov 27 09:53:14 PST 2019,Sat Nov 30 09:53:14 PST 2019,,,,25,100% (238/238),100% (238/238),100% (238/238),"i ' m not familiar with rap , but i believe it may be from front minor , or something similar .","yeah , it ' s from for nt minor , or something like that , i don ' t listen to rap , so it ' s just a guess",4,,
1,301KG0KX9CLAVEPO4SWXIMJBAOD2HI,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851041;OriginalHitTemplateId:928390905;,14400,3AAPLD8UCCH61WHUD9LU8SONP03THV,AW6QLOMTOO770,Submitted,Wed Nov 27 09:51:04 PST 2019,Wed Nov 27 09:51:14 PST 2019,Sat Nov 30 09:51:14 PST 2019,,,,10,0% (0/0),0% (0/0),0% (0/0),"i ' m not familiar with rap , but i believe it may be from front minor , or something similar .","yeah , it ' s from for nt minor , or something like that , i don ' t listen to rap , so it ' s just a guess",4,,
2,301KG0KX9CLAVEPO4SWXIMJBAOD2HI,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851041;OriginalHitTemplateId:928390905;,14400,3TU5ZICBRD10G5O9T1XTQAK12AE8QH,A1Q890R4148O5G,Submitted,Wed Nov 27 09:50:51 PST 2019,Wed Nov 27 09:51:00 PST 2019,Sat Nov 30 09:51:00 PST 2019,,,,9,100% (91/91),100% (91/91),100% (91/91),"i ' m not familiar with rap , but i believe it may be from front minor , or something similar .","yeah , it ' s from for nt minor , or something like that , i don ' t listen to rap , so it ' s just a guess",1 - Not Similar At All,,
3,301KG0KX9CLAVEPO4SWXIMJBAODH2X,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851041;OriginalHitTemplateId:928390905;,14400,3PEIJLRY6TTVF3L3DI8RYYJGHK5XWJ,AW6QLOMTOO770,Submitted,Wed Nov 27 09:53:17 PST 2019,Wed Nov 27 09:53:31 PST 2019,Sat Nov 30 09:53:31 PST 2019,,,,14,0% (0/0),0% (0/0),0% (0/0),"if you are tired of spend ing time with her , then you and i should consider dating again .",and i u r sick of her then get back at me !!,4,,
4,301KG0KX9CLAVEPO4SWXIMJBAODH2X,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851041;OriginalHitTemplateId:928390905;,14400,3RRCEFRB7MCCTYZIYGAQE99XEPJ4BY,A29IS23K76GS7W,Submitted,Wed Nov 27 09:53:44 PST 2019,Wed Nov 27 09:53:48 PST 2019,Sat Nov 30 09:53:48 PST 2019,,,,4,100% (1/1),100% (1/1),100% (1/1),"if you are tired of spend ing time with her , then you and i should consider dating again .",and i u r sick of her then get back at me !!,4,,
5,301KG0KX9CLAVEPO4SWXIMJBAODH2X,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851041;OriginalHitTemplateId:928390905;,14400,3XUHV3NRVKY4GU64CD3W5CI99YKH5X,A2QM59PHRH71U2,Submitted,Wed Nov 27 09:55:09 PST 2019,Wed Nov 27 09:55:28 PST 2019,Sat Nov 30 09:55:28 PST 2019,,,,19,100% (14/14),100% (14/14),100% (14/14),"if you are tired of spend ing time with her , then you and i should consider dating again .",and i u r sick of her then get back at me !!,3,,
6,302OLP89DZ78J99CVFBBDD5T9K0ACO,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851041;OriginalHitTemplateId:928390905;,14400,32M8BPYGATM2SM68ZR489LADZJAGI2,A14UJPO621M1X0,Submitted,Wed Nov 27 09:50:56 PST 2019,Wed Nov 27 09:51:04 PST 2019,Sat Nov 30 09:51:04 PST 2019,,,,8,100% (164/164),100% (164/164),100% (164/164),great question of the type i enjoy .,"nice question , that ' s what i like .",4,,
7,302OLP89DZ78J99CVFBBDD5T9K0ACO,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851041;OriginalHitTemplateId:928390905;,14400,3JAOYWH7VI4P3DR66OVB9KGICAA9LJ,A27EMYMI2OKK6E,Submitted,Wed Nov 27 09:52:29 PST 2019,Wed Nov 27 09:52:41 PST 2019,Sat Nov 30 09:52:41 PST 2019,,,,12,100% (33/33),100% (33/33),100% (33/33),great question of the type i enjoy .,"nice question , that ' s what i like .",4,,
8,302OLP89DZ78J99CVFBBDD5T9K0ACO,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851041;OriginalHitTemplateId:928390905;,14400,3S4AW7T80BIO67LUPTZKSC52QIVL4Y,AW6QLOMTOO770,Submitted,Wed Nov 27 09:50:48 PST 2019,Wed Nov 27 09:50:55 PST 2019,Sat Nov 30 09:50:55 PST 2019,,,,7,0% (0/0),0% (0/0),0% (0/0),great question of the type i enjoy .,"nice question , that ' s what i like .",5 - Highly Similar,,
9,302U8RURJZ1B2191V0BLPBDITYFNVK,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851041;OriginalHitTemplateId:928390905;,14400,392CY0QWG1RMG6DO4Q270WDA9F6I4O,A8BINMWK706J,Submitted,Wed Nov 27 09:58:47 PST 2019,Wed Nov 27 09:58:51 PST 2019,Sat Nov 30 09:58:51 PST 2019,,,,4,0% (0/0),0% (0/0),0% (0/0),my best friend is more valuable than having money .,my best friend is worth more than money,5 - Highly Similar,,
10,302U8RURJZ1B2191V0BLPBDITYFNVK,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851041;OriginalHitTemplateId:928390905;,14400,3X87C8JFV6BIZP3I7Z3Y71K2E5NQS3,A1PR75OOJOLBA2,Submitted,Wed Nov 27 09:55:01 PST 2019,Wed Nov 27 09:55:08 PST 2019,Sat Nov 30 09:55:08 PST 2019,,,,7,100% (408/408),100% (408/408),100% (408/408),my best friend is more valuable than having money .,my best friend is worth more than money,3,,
