,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
0,3W31J70BASWEVMIY76O07R8PEWTCK4,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851040;OriginalHitTemplateId:928390905;,14400,33PPUNGG385FC24WF6M68KRAX5IZR9,A2V7RTBYCIY1CC,Submitted,Wed Nov 27 09:44:34 PST 2019,Wed Nov 27 09:51:19 PST 2019,Sat Nov 30 09:51:19 PST 2019,,,,405,100% (36/36),100% (36/36),100% (36/36),"if he throw s you around , li ter ally , then get rid of him period .",! we call them may day basket s,2,,
1,3W31J70BASWEVMIY76O07R8PEWTCK4,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851040;OriginalHitTemplateId:928390905;,14400,3NKQQ8O39Y54PTRHRISEM3VRGMDDUT,A2GZNOA5CIVKUB,Submitted,Wed Nov 27 09:45:27 PST 2019,Wed Nov 27 09:45:30 PST 2019,Sat Nov 30 09:45:30 PST 2019,,,,3,100% (131/131),100% (131/131),100% (131/131),"if he throw s you around , li ter ally , then get rid of him period .",! we call them may day basket s,3,,
2,3W31J70BASWEVMIY76O07R8PEWTCK4,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851040;OriginalHitTemplateId:928390905;,14400,3VELCLL3GKJLEGEFG0DKZ1TFH2VF16,A3TKUXUTDX6FBF,Submitted,Wed Nov 27 09:44:59 PST 2019,Wed Nov 27 09:45:10 PST 2019,Sat Nov 30 09:45:10 PST 2019,,,,11,100% (105/105),100% (105/105),100% (105/105),"if he throw s you around , li ter ally , then get rid of him period .",! we call them may day basket s,4,,
3,33QQ60S6ASI84QSUP4ZIIDFM7YU0UW,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851040;OriginalHitTemplateId:928390905;,14400,32SVAV9L3F9MSSBMSO5B9TXLI6X3AA,A1SK0GV4SSOH1A,Submitted,Wed Nov 27 09:46:43 PST 2019,Wed Nov 27 09:46:48 PST 2019,Sat Nov 30 09:46:48 PST 2019,,,,5,100% (528/528),100% (528/528),100% (528/528),"of course , i have also seen brilliant women who do not know anything about men . go figure !",":) anyways , you ask what love is blind really means .",3,,
4,33QQ60S6ASI84QSUP4ZIIDFM7YU0UW,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851040;OriginalHitTemplateId:928390905;,14400,352YTHGROVDMKB24Y8KM0KCV91HH4I,A1U9XC376J6ZQ2,Submitted,Wed Nov 27 09:44:29 PST 2019,Wed Nov 27 09:44:39 PST 2019,Sat Nov 30 09:44:39 PST 2019,,,,10,100% (145/145),100% (145/145),100% (145/145),"of course , i have also seen brilliant women who do not know anything about men . go figure !",":) anyways , you ask what love is blind really means .",3,,
5,33QQ60S6ASI84QSUP4ZIIDFM7YU0UW,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851040;OriginalHitTemplateId:928390905;,14400,3WZ36BJEV3GWAJE8DHBYMHLPUNUBTT,A2BA1R9MAHHWJH,Submitted,Wed Nov 27 09:45:36 PST 2019,Wed Nov 27 09:49:19 PST 2019,Sat Nov 30 09:49:19 PST 2019,,,,223,100% (253/253),100% (253/253),100% (253/253),"of course , i have also seen brilliant women who do not know anything about men . go figure !",":) anyways , you ask what love is blind really means .",3,,
6,3ZUE82NE0A113X07PJHYPSK1G9RF8Z,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851040;OriginalHitTemplateId:928390905;,14400,39PAAFCODM0BJXCEIY2YNTFWXF9TVG,A702ADPGVW46V,Submitted,Wed Nov 27 09:44:36 PST 2019,Wed Nov 27 09:44:41 PST 2019,Sat Nov 30 09:44:41 PST 2019,,,,5,100% (59/59),100% (59/59),100% (59/59),"movie information can be found on the website , imdb , the website , bar nes and no ble for books and the website ,  billboard for music .",that has to come up with something .,1 - Not Similar At All,,
7,3ZUE82NE0A113X07PJHYPSK1G9RF8Z,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851040;OriginalHitTemplateId:928390905;,14400,3A4TN5196KIPFFFJRNQ4JIOJ1EZCHR,A2B6IFOZY2D4A4,Submitted,Wed Nov 27 09:44:57 PST 2019,Wed Nov 27 09:45:09 PST 2019,Sat Nov 30 09:45:09 PST 2019,,,,12,100% (660/660),100% (660/660),100% (660/660),"movie information can be found on the website , imdb , the website , bar nes and no ble for books and the website ,  billboard for music .",that has to come up with something .,1 - Not Similar At All,,
8,3ZUE82NE0A113X07PJHYPSK1G9RF8Z,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851040;OriginalHitTemplateId:928390905;,14400,3VNXK88KKCISZI30KSXHWTEK388V9K,A1NRZ7O1TEJB1V,Submitted,Wed Nov 27 09:47:46 PST 2019,Wed Nov 27 09:50:23 PST 2019,Sat Nov 30 09:50:23 PST 2019,,,,157,100% (317/317),100% (317/317),100% (317/317),"movie information can be found on the website , imdb , the website , bar nes and no ble for books and the website ,  billboard for music .",that has to come up with something .,4,,
9,3GVPRXWRPHUHDAXEGMVDEP1YLHD7IV,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851040;OriginalHitTemplateId:928390905;,14400,3018Q3ZVOIQEBUWO3E67RR01OKCRA1,AG7G6ZGG73JP7,Submitted,Wed Nov 27 09:45:44 PST 2019,Wed Nov 27 09:45:51 PST 2019,Sat Nov 30 09:45:51 PST 2019,,,,7,100% (102/102),100% (102/102),100% (102/102),i don ' t think there is any .,just normal step s and work your way back up slowly .,1 - Not Similar At All,,
