,text_1,text_2,label,chrf_score,chrf_score_norm
0,take measures in order to,take additional measures to,4.0,0.5066079295154184,2.533039647577092
1,was seeking to,will strive to,3.0,0.1739130434782609,0.8695652173913044
2,canada aims to,canada works to,2.333,0.5316091954022989,2.6580459770114944
3,refugees and,refugee population,2.667,0.49504950495049505,2.4752475247524752
4,measures and,"instruments , and",3.0,0.3,1.5
5,provide both,", is provided",3.667,0.4861111111111111,2.4305555555555554
6,policy goals,political goals,4.333,0.5612244897959184,2.8061224489795924
7,of non-governmental organisations,for non-governmental organizations,4.0,0.8278867102396515,4.139433551198258
8,of the service,of services are,3.333,0.574712643678161,2.873563218390805
9,resource availability .,of the resources available .,5.0,0.5714285714285714,2.8571428571428568
10,all nations that,all the countries that,5.0,0.4137115839243498,2.068557919621749
11,now continue,in continuing,4.0,0.5902777777777778,2.951388888888889
12,the issue of,the questions of,3.667,0.37037037037037035,1.8518518518518516
13,not already,there were no,1.6669999999999998,0.1532567049808429,0.7662835249042145
14,two types,two different types,4.667,0.6666666666666666,3.333333333333333
15,you doing up there,you doin ' up here,5.0,0.5698924731182795,2.8494623655913975
16,", religions",religious and,3.333,0.5747126436781609,2.8735632183908044
17,matters that are,"subject matter ,",2.333,0.3333333333333333,1.6666666666666665
18,continues to play an,there continues to be a,3.333,0.6179775280898877,3.0898876404494384
19,mitigate the consequences,reduce the impact,5.0,0.23041474654377875,1.1520737327188937
20,", in certain instances",", in some instances",4.667,0.529513888888889,2.6475694444444446
21,of alternative measures,of other measures,4.667,0.41038525963149075,2.0519262981574538
22,be improved,be consolidated,3.333,0.20599250936329588,1.0299625468164795
23,p.m. to 4:00 p.m.,a.m. to 4 p.m.,3.0,0.5633802816901409,2.8169014084507045
24,did n't he,do n't know what it is,2.667,0.3448275862068966,1.7241379310344829
25,you are about,you 're not gonna,2.667,0.29051987767584103,1.4525993883792052
26,police investigations,an investigation,2.667,0.6388888888888888,3.194444444444444
27,and the human rights,", and rights",3.333,0.3692614770459083,1.8463073852295415
28,is colonel,'s colonel,4.333,0.8666666666666667,4.333333333333334
29,", including in particular the",", particularly those of",2.667,0.398970398970399,1.994851994851995
30,been permitted to,is allowed to,4.333,0.20094562647754138,1.0047281323877069
31,is considered that,is believed that,3.333,0.3812636165577342,1.9063180827886712
32,of human trafficking .,the trafficking of human beings .,3.333,0.8333333333333333,4.166666666666666
33,of the commission for the,committees on,1.3330000000000002,0.187793427230047,0.938967136150235
34,it is committed,the government is committed,2.333,0.8394160583941606,4.197080291970803
35,- when did you,"well , did you",3.333,0.5217391304347826,2.608695652173913
36,we have to go .,we should get going .,3.0,0.2544529262086514,1.272264631043257
37,and the mark,and the trade mark,4.667,0.8415841584158416,4.207920792079208
38,", detailed",issue in detail,4.333,0.5833333333333334,2.916666666666667
39,was an emergency,was urgent,2.667,0.2583979328165374,1.291989664082687
40,those wishing to,persons who wish to,4.333,0.32608695652173914,1.6304347826086958
41,others and,other jurisdictions and,3.333,0.5681818181818181,2.840909090909091
42,convention provides,convention shall be,4.0,0.5353535353535354,2.676767676767677
43,both employers,the employer shall,3.0,0.6022408963585433,3.011204481792716
44,compromise is,compromise proposed,3.333,0.7807807807807807,3.9039039039039034
45,is anxious to,is intended to,3.667,0.220125786163522,1.10062893081761
46,considerably better,much better,3.667,0.29723991507430997,1.4861995753715498
47,"additionally , it","in addition , it has",3.667,0.5518018018018018,2.7590090090090094
48,proposals presented in,the proposals contained in,3.333,0.5527638190954773,2.7638190954773867
49,works well,are working,1.6669999999999998,0.2850877192982456,1.4254385964912282
50,report addresses,report is,3.667,0.3645833333333333,1.8229166666666665
51,"of treaties ,",nations treaty,2.333,0.42452830188679247,2.1226415094339623
52,it is concerned that,it notes with concern that,4.0,0.5340699815837938,2.670349907918969
53,"fight against racism ,","fighting racism ,",3.0,0.5087719298245613,2.5438596491228065
54,provides an overview of the,gives an overview of,3.667,0.6232492997198881,3.1162464985994403
55,data are available,data base,2.667,0.2054794520547945,1.0273972602739725
56,note with appreciation that,note with satisfaction that,4.0,0.6122448979591836,3.0612244897959178
57,of the following draft decision :,the following draft resolutions :,4.333,0.639344262295082,3.19672131147541
58,"yes , she is","yeah , i 'm sure",3.667,0.2693602693602693,1.3468013468013464
59,ability to,they are able to,2.667,0.2674897119341563,1.3374485596707817
60,we are confident that,we strongly believe that,4.667,0.2748226950354609,1.3741134751773045
61,provincial governments,in the provinces,2.667,0.2998236331569665,1.4991181657848323
62,- everything is,- that 's all,2.333,0.10840108401084012,0.5420054200542006
63,"- yeah , i do","- yes , he did",4.333,0.330188679245283,1.650943396226415
