,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
0,39TX062QX1OW2MLMDWSO4ICX4S0X3L,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851055;OriginalHitTemplateId:928390905;,14400,386CSBG1OZMDCR5L0M0V6WOAWGW6Q3,A199N1JFVRLD4F,Submitted,Wed Nov 27 10:02:19 PST 2019,Wed Nov 27 10:02:34 PST 2019,Sat Nov 30 10:02:34 PST 2019,,,,15,100% (7/7),100% (7/7),100% (7/7),what be the real color of uranus ?,where be the coldest desert ?,3,,
1,39TX062QX1OW2MLMDWSO4ICX4S0X3L,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851055;OriginalHitTemplateId:928390905;,14400,3OHYZ19UGC5BEH48BMP3XWVWDY5AOQ,A1PR75OOJOLBA2,Submitted,Wed Nov 27 10:03:50 PST 2019,Wed Nov 27 10:03:55 PST 2019,Sat Nov 30 10:03:55 PST 2019,,,,5,100% (579/579),100% (579/579),100% (579/579),what be the real color of uranus ?,where be the coldest desert ?,4,,
2,39TX062QX1OW2MLMDWSO4ICX4S0X3L,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851055;OriginalHitTemplateId:928390905;,14400,3WZ36BJEV3GWAJE8DHBYMHLPUO7BT8,A28HB7240OFGEW,Submitted,Wed Nov 27 10:03:38 PST 2019,Wed Nov 27 10:03:41 PST 2019,Sat Nov 30 10:03:41 PST 2019,,,,3,0% (0/0),0% (0/0),0% (0/0),what be the real color of uranus ?,where be the coldest desert ?,4,,
3,3UDTAB6HH6ZAKY4RRT4RMHS8UDQ09B,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851055;OriginalHitTemplateId:928390905;,14400,32N49TQG3GI641D5CYBHSOP49R2AVS,A8BINMWK706J,Submitted,Wed Nov 27 10:04:09 PST 2019,Wed Nov 27 10:04:13 PST 2019,Sat Nov 30 10:04:13 PST 2019,,,,4,100% (1/1),100% (1/1),100% (1/1),when be buddhism religion found ?,how many babe do cheryl cole want ?,1 - Not Similar At All,,
4,3UDTAB6HH6ZAKY4RRT4RMHS8UDQ09B,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851055;OriginalHitTemplateId:928390905;,14400,33M4IA01QG1Q774HEOYLBZBZP6ZRXL,A1SK0GV4SSOH1A,Submitted,Wed Nov 27 10:05:51 PST 2019,Wed Nov 27 10:05:57 PST 2019,Sat Nov 30 10:05:57 PST 2019,,,,6,100% (432/432),100% (432/432),100% (432/432),when be buddhism religion found ?,how many babe do cheryl cole want ?,2,,
5,3UDTAB6HH6ZAKY4RRT4RMHS8UDQ09B,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851055;OriginalHitTemplateId:928390905;,14400,3SNVL38CI4SGH5GRX8T1WA4BTWGKCI,A1TIO97G4K0ZFF,Submitted,Wed Nov 27 10:04:37 PST 2019,Wed Nov 27 10:04:46 PST 2019,Sat Nov 30 10:04:46 PST 2019,,,,9,100% (435/435),100% (435/435),100% (435/435),when be buddhism religion found ?,how many babe do cheryl cole want ?,2,,
6,334ZEL5JX6FDSUS92K6TTDTGK4USO3,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851055;OriginalHitTemplateId:928390905;,14400,33IZTU6J81128M4UTDYQ19GVB8HXSE,A1ARIECD8PX7OT,Submitted,Wed Nov 27 10:04:39 PST 2019,Wed Nov 27 10:04:42 PST 2019,Sat Nov 30 10:04:42 PST 2019,,,,3,100% (21/21),100% (21/21),100% (21/21),what do the shutter release do in a camera ?,be there any way to tell how long breast cancer last ?,1 - Not Similar At All,,
7,334ZEL5JX6FDSUS92K6TTDTGK4USO3,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851055;OriginalHitTemplateId:928390905;,14400,3HQUKB7LNFEGWNQZDF45U9LZE7IHHL,A2RHXND42JWM92,Submitted,Wed Nov 27 10:06:05 PST 2019,Wed Nov 27 10:06:13 PST 2019,Sat Nov 30 10:06:13 PST 2019,,,,8,0% (0/0),0% (0/0),0% (0/0),what do the shutter release do in a camera ?,be there any way to tell how long breast cancer last ?,1 - Not Similar At All,,
8,334ZEL5JX6FDSUS92K6TTDTGK4USO3,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851055;OriginalHitTemplateId:928390905;,14400,3R2PKQ87NW82KW2UAU23MQUAV6WMIS,A2LKB11B1PALLY,Submitted,Wed Nov 27 10:05:36 PST 2019,Wed Nov 27 10:05:52 PST 2019,Sat Nov 30 10:05:52 PST 2019,,,,16,100% (66/66),100% (66/66),100% (66/66),what do the shutter release do in a camera ?,be there any way to tell how long breast cancer last ?,1 - Not Similar At All,,
9,34F34TZU7WZ6MKKESSZIUZZQNGM2JS,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851055;OriginalHitTemplateId:928390905;,14400,35K3O9HUABDKYH8RSO8Z6LC96CBEF2,A3SUMGGFWKMQ3D,Submitted,Wed Nov 27 10:02:15 PST 2019,Wed Nov 27 10:04:03 PST 2019,Sat Nov 30 10:04:03 PST 2019,,,,108,100% (54/54),100% (54/54),100% (54/54),what be the difference between bat ?,a code littlestpetshop v you ps ?,2,,
10,34F34TZU7WZ6MKKESSZIUZZQNGM2JS,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851055;OriginalHitTemplateId:928390905;,14400,3FTF2T8WLRI5E735A22DIVXYAIL9WL,A14KIIR8FGYCHO,Submitted,Wed Nov 27 10:02:39 PST 2019,Wed Nov 27 10:07:44 PST 2019,Sat Nov 30 10:07:44 PST 2019,,,,305,100% (162/162),100% (162/162),100% (162/162),what be the difference between bat ?,a code littlestpetshop v you ps ?,5 - Highly Similar,,
