,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
0,3T5ZXGO9DEODEIR3CPS5EBLJMKVQZX,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851006;OriginalHitTemplateId:928390905;,14400,38SKSKU7R1XIEEK9AI1OMDFLVZJILV,A3BCGN11HDM8QR,Approved,Wed Nov 27 08:39:22 PST 2019,Wed Nov 27 08:39:34 PST 2019,Sat Nov 30 08:39:34 PST 2019,Wed Nov 27 11:05:22 PST 2019,,,12,100% (142/142),100% (142/142),100% (142/142),"And he sent Eliakim , who was over the household , and Shebna the scribe , and the elders of the priests , covered with sackcloth , unto Isaiah the prophet the son of Amoz .","And he sent Eliakim , who was over the house , and Shebna the scribe , and the chief priests , dressed in haircloth , to Isaiah the prophet , the son of Amoz .",2,,
1,3T5ZXGO9DEODEIR3CPS5EBLJMKVQZX,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851006;OriginalHitTemplateId:928390905;,14400,3SPJ0334213Y9OBEBFBESMWHHTBJYZ,A3SQ00HYQN7FYB,Approved,Wed Nov 27 08:38:14 PST 2019,Wed Nov 27 08:38:26 PST 2019,Sat Nov 30 08:38:26 PST 2019,Wed Nov 27 11:05:23 PST 2019,,,12,100% (123/123),100% (123/123),100% (123/123),"And he sent Eliakim , who was over the household , and Shebna the scribe , and the elders of the priests , covered with sackcloth , unto Isaiah the prophet the son of Amoz .","And he sent Eliakim , who was over the house , and Shebna the scribe , and the chief priests , dressed in haircloth , to Isaiah the prophet , the son of Amoz .",3,,
2,3T5ZXGO9DEODEIR3CPS5EBLJMKVQZX,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851006;OriginalHitTemplateId:928390905;,14400,3ZOTGHDK5IBFEDQ2SMBUIWP2Z2PSOD,A5WAWW70PYRP,Approved,Wed Nov 27 08:38:38 PST 2019,Wed Nov 27 08:45:57 PST 2019,Sat Nov 30 08:45:57 PST 2019,Wed Nov 27 11:05:23 PST 2019,,,439,100% (38/38),100% (38/38),100% (38/38),"And he sent Eliakim , who was over the household , and Shebna the scribe , and the elders of the priests , covered with sackcloth , unto Isaiah the prophet the son of Amoz .","And he sent Eliakim , who was over the house , and Shebna the scribe , and the chief priests , dressed in haircloth , to Isaiah the prophet , the son of Amoz .",4,,
3,3VDI8GSXAFT7HXW203NG7DKDHOG8GG,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851006;OriginalHitTemplateId:928390905;,14400,3COPXFW7XBCZBUPV2DF7GA3ISD7KP4,AE608VRXK6M2E,Approved,Wed Nov 27 08:35:29 PST 2019,Wed Nov 27 08:45:41 PST 2019,Sat Nov 30 08:45:41 PST 2019,Wed Nov 27 11:06:19 PST 2019,,,612,100% (38/38),100% (38/38),100% (38/38),"And Ibneiah , the son of Jeroham , and Elah , the son of Uzzi , the son of Michri , and Meshullam , the son of Shephatiah , the son of Reuel , the son of Ibnijah ;","and Ibneiah son of Jeroham , and Elah son of Uzzi , son of Michri , and Meshullam son of Shephatiah , son of Reuel , son of Ibnijah .",5 - Highly Similar,,
4,3VDI8GSXAFT7HXW203NG7DKDHOG8GG,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851006;OriginalHitTemplateId:928390905;,14400,3LS2AMNW5FQ31XBP0IMPNWA1HE3OQJ,A22A52DRIIEV6K,Approved,Wed Nov 27 08:35:12 PST 2019,Wed Nov 27 08:35:31 PST 2019,Sat Nov 30 08:35:31 PST 2019,Wed Nov 27 11:06:20 PST 2019,,,19,100% (1/1),100% (1/1),100% (1/1),"And Ibneiah , the son of Jeroham , and Elah , the son of Uzzi , the son of Michri , and Meshullam , the son of Shephatiah , the son of Reuel , the son of Ibnijah ;","and Ibneiah son of Jeroham , and Elah son of Uzzi , son of Michri , and Meshullam son of Shephatiah , son of Reuel , son of Ibnijah .",4,,
5,3VDI8GSXAFT7HXW203NG7DKDHOG8GG,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851006;OriginalHitTemplateId:928390905;,14400,3TVSS0C0E10OYMCJ887U9VYA4N1WTH,AWJ0LF6A0LXJN,Approved,Wed Nov 27 08:35:53 PST 2019,Wed Nov 27 08:38:03 PST 2019,Sat Nov 30 08:38:03 PST 2019,Wed Nov 27 11:06:20 PST 2019,,,130,100% (115/115),100% (115/115),100% (115/115),"And Ibneiah , the son of Jeroham , and Elah , the son of Uzzi , the son of Michri , and Meshullam , the son of Shephatiah , the son of Reuel , the son of Ibnijah ;","and Ibneiah son of Jeroham , and Elah son of Uzzi , son of Michri , and Meshullam son of Shephatiah , son of Reuel , son of Ibnijah .",5 - Highly Similar,,
6,34KYK9TV2R8T9030YF17NTTHD5VSBJ,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851006;OriginalHitTemplateId:928390905;,14400,3M0NZ3JDP1YQ7F6YIZ935JME5MPZ5P,A10DMENL2H243H,Approved,Wed Nov 27 08:49:38 PST 2019,Wed Nov 27 08:49:50 PST 2019,Sat Nov 30 08:49:50 PST 2019,Wed Nov 27 10:58:15 PST 2019,,,12,100% (1/1),100% (1/1),100% (1/1),"And the lord of that servant , being moved with compassion , released him , and forgave him the debt .","And the lord of that servant , being moved with pity , let him go , and made him free of the debt .",3,,
7,34KYK9TV2R8T9030YF17NTTHD5VSBJ,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851006;OriginalHitTemplateId:928390905;,14400,3TXMY6UCAEO2S8EMADDYSWGKS0RQCV,A2G44A4ZPWRPXU,Approved,Wed Nov 27 08:50:47 PST 2019,Wed Nov 27 08:59:07 PST 2019,Sat Nov 30 08:59:07 PST 2019,Wed Nov 27 10:58:15 PST 2019,,,500,100% (46/46),100% (46/46),100% (46/46),"And the lord of that servant , being moved with compassion , released him , and forgave him the debt .","And the lord of that servant , being moved with pity , let him go , and made him free of the debt .",5 - Highly Similar,,
8,34KYK9TV2R8T9030YF17NTTHD5VSBJ,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851006;OriginalHitTemplateId:928390905;,14400,3UXUOQ9OKEX4TBC9U081MA91N7G7AE,ACKF1WBCKVLY3,Approved,Wed Nov 27 08:53:30 PST 2019,Wed Nov 27 08:53:36 PST 2019,Sat Nov 30 08:53:36 PST 2019,Wed Nov 27 10:58:15 PST 2019,,,6,100% (146/146),100% (146/146),100% (146/146),"And the lord of that servant , being moved with compassion , released him , and forgave him the debt .","And the lord of that servant , being moved with pity , let him go , and made him free of the debt .",4,,
9,3BAKUKE49HCGVNLVHT8DR7BC5RKR1A,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851006;OriginalHitTemplateId:928390905;,14400,3P1L2B7AD1PSA0VC8DET6AB778IOLW,A168NGIUW93RV5,Approved,Wed Nov 27 08:40:12 PST 2019,Wed Nov 27 08:40:32 PST 2019,Sat Nov 30 08:40:32 PST 2019,Wed Nov 27 11:00:08 PST 2019,,,20,100% (86/86),100% (86/86),100% (86/86),"The word of the Lord which came to Joel , the son of Pethuel .",The word of the Lord that came to Joel the son of Phatuel .,4,,
