,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
0,3PKVGQTFIHKDLTWYTIFM5UMMCC0RYF,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851032;OriginalHitTemplateId:928390905;,14400,3KB8R4ZV1E7S5ES2THCRNY604T1GB4,AFQIHS5XX58NR,Submitted,Wed Nov 27 09:16:22 PST 2019,Wed Nov 27 09:16:33 PST 2019,Sat Nov 30 09:16:33 PST 2019,,,,11,100% (169/169),100% (169/169),100% (169/169),"had one mediocre meal and said , `` we 'll try again `` .","very expensive , and bad quality here .",4,,
1,3PKVGQTFIHKDLTWYTIFM5UMMCC0RYF,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851032;OriginalHitTemplateId:928390905;,14400,3VP0C6EFSGWMRC7T8TTEPN45ME16MG,A2B6IFOZY2D4A4,Submitted,Wed Nov 27 09:15:37 PST 2019,Wed Nov 27 09:15:44 PST 2019,Sat Nov 30 09:15:44 PST 2019,,,,7,100% (345/345),100% (345/345),100% (345/345),"had one mediocre meal and said , `` we 'll try again `` .","very expensive , and bad quality here .",1 - Not Similar At All,,
2,3PKVGQTFIHKDLTWYTIFM5UMMCC0RYF,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851032;OriginalHitTemplateId:928390905;,14400,3X31TUMD7XM7E8OB2BGIUEYZEYUL1U,A14CLZWROI8UCS,Submitted,Wed Nov 27 09:13:29 PST 2019,Wed Nov 27 09:13:54 PST 2019,Sat Nov 30 09:13:54 PST 2019,,,,25,100% (110/110),100% (110/110),100% (110/110),"had one mediocre meal and said , `` we 'll try again `` .","very expensive , and bad quality here .",1 - Not Similar At All,,
3,3RWB1RTQDJNDUAP13MD31MY5IF9P87,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851032;OriginalHitTemplateId:928390905;,14400,3COPXFW7XBCZBUPV2DF7GA3ISEUPKY,A1E4A904M2LXXU,Submitted,Wed Nov 27 09:13:11 PST 2019,Wed Nov 27 09:13:24 PST 2019,Sat Nov 30 09:13:24 PST 2019,,,,13,100% (8/8),100% (8/8),100% (8/8),"the food was mediocre at best , far too greasy and not cooked well .",she was happy that we were asking for the prices .,1 - Not Similar At All,,
4,3RWB1RTQDJNDUAP13MD31MY5IF9P87,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851032;OriginalHitTemplateId:928390905;,14400,3DY46V3X3PIS01M9BB2NGFFJ4O0559,AG7G6ZGG73JP7,Submitted,Wed Nov 27 09:14:48 PST 2019,Wed Nov 27 09:14:57 PST 2019,Sat Nov 30 09:14:57 PST 2019,,,,9,100% (9/9),100% (9/9),100% (9/9),"the food was mediocre at best , far too greasy and not cooked well .",she was happy that we were asking for the prices .,1 - Not Similar At All,,
5,3RWB1RTQDJNDUAP13MD31MY5IF9P87,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851032;OriginalHitTemplateId:928390905;,14400,3OLQQLKKNSP03JUNBEZKLJ41ZISEJ3,A3I4KBEQ8063T9,Submitted,Wed Nov 27 09:12:49 PST 2019,Wed Nov 27 09:12:59 PST 2019,Sat Nov 30 09:12:59 PST 2019,,,,10,0% (0/0),0% (0/0),0% (0/0),"the food was mediocre at best , far too greasy and not cooked well .",she was happy that we were asking for the prices .,1 - Not Similar At All,,
6,3KI0JD2ZU1I1KQ2DELMOHMBTCQE67W,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851032;OriginalHitTemplateId:928390905;,14400,34Q075JO1XDUHCZPDIUZWU6BB0J010,A14UJPO621M1X0,Submitted,Wed Nov 27 09:13:10 PST 2019,Wed Nov 27 09:13:18 PST 2019,Sat Nov 30 09:13:18 PST 2019,,,,8,100% (93/93),100% (93/93),100% (93/93),the calzones are awesome and the lunch special they have is perfect .,horrible tamales,1 - Not Similar At All,,
7,3KI0JD2ZU1I1KQ2DELMOHMBTCQE67W,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851032;OriginalHitTemplateId:928390905;,14400,3V26SBZTBDEOETQNPNGJUNT96MEZZF,A3760PCQD2MPIO,Submitted,Wed Nov 27 09:13:06 PST 2019,Wed Nov 27 09:13:17 PST 2019,Sat Nov 30 09:13:17 PST 2019,,,,11,0% (0/0),0% (0/0),0% (0/0),the calzones are awesome and the lunch special they have is perfect .,horrible tamales,1 - Not Similar At All,,
8,3KI0JD2ZU1I1KQ2DELMOHMBTCQE67W,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851032;OriginalHitTemplateId:928390905;,14400,3Z7VU45IPYHRJX5FHC7R2T9XT721ZT,AWJ0LF6A0LXJN,Submitted,Wed Nov 27 09:12:47 PST 2019,Wed Nov 27 09:16:32 PST 2019,Sat Nov 30 09:16:32 PST 2019,,,,225,100% (194/194),100% (194/194),100% (194/194),the calzones are awesome and the lunch special they have is perfect .,horrible tamales,4,,
9,375VSR8FVW9DQJ63P4H5J1VOI64RZ6,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851032;OriginalHitTemplateId:928390905;,14400,39JEC7537U1UXGA3WC78YJFS9TNVCD,A2ZZW6KME1FUDU,Submitted,Wed Nov 27 09:14:46 PST 2019,Wed Nov 27 09:19:41 PST 2019,Sat Nov 30 09:19:41 PST 2019,,,,295,100% (14/14),100% (14/14),100% (14/14),said we could n't sit at the table if we were n't ordering dinner .,the trip is to die for,1 - Not Similar At All,,
