,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
0,3ZQX1VYFTD5V9AD0OM0OCMTF8AG8OC,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3M0BCWMB8VWO20I28MG991SOYH2WBU,A2JAK7A44RN2EM,Submitted,Wed Nov 27 09:31:44 PST 2019,Wed Nov 27 09:31:55 PST 2019,Sat Nov 30 09:31:55 PST 2019,,,,11,100% (2/2),100% (2/2),100% (2/2),you receive so many benefits that you would be much better off if you did not win six - million - five - hundred - thousand dollars .,still think it s better to stick with the benefits than winning n um  . n um million,4,,
1,3ZQX1VYFTD5V9AD0OM0OCMTF8AG8OC,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3P1L2B7AD1PSA0VC8DET6AB779HOLX,A1NRZ7O1TEJB1V,Submitted,Wed Nov 27 09:31:44 PST 2019,Wed Nov 27 09:34:27 PST 2019,Sat Nov 30 09:34:27 PST 2019,,,,163,100% (169/169),100% (169/169),100% (169/169),you receive so many benefits that you would be much better off if you did not win six - million - five - hundred - thousand dollars .,still think it s better to stick with the benefits than winning n um  . n um million,3,,
2,3ZQX1VYFTD5V9AD0OM0OCMTF8AG8OC,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3YWRV122CSZS8YVQAAHY0BHQ5V5U8T,A38WFH69NQ5WJG,Submitted,Wed Nov 27 09:30:38 PST 2019,Wed Nov 27 09:31:27 PST 2019,Sat Nov 30 09:31:27 PST 2019,,,,49,100% (1/1),100% (1/1),100% (1/1),you receive so many benefits that you would be much better off if you did not win six - million - five - hundred - thousand dollars .,still think it s better to stick with the benefits than winning n um  . n um million,2,,
3,3IYI9285WS0JK2CGPLOO6C8CZ7RJCA,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3C5W7UE9CFQZARRP9G24P0HPJIEXMF,A2YXL5GQ3LZUY0,Submitted,Wed Nov 27 09:34:13 PST 2019,Wed Nov 27 09:34:55 PST 2019,Sat Nov 30 09:34:55 PST 2019,,,,42,100% (1/1),100% (1/1),100% (1/1),at least he ' s self aware,being al ert about it cause s a genuine appearance,2,,
4,3IYI9285WS0JK2CGPLOO6C8CZ7RJCA,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3UOUJI6MTDEINZWYIITQGAYJW4FXU5,A1PR75OOJOLBA2,Submitted,Wed Nov 27 09:31:32 PST 2019,Wed Nov 27 09:31:39 PST 2019,Sat Nov 30 09:31:39 PST 2019,,,,7,100% (367/367),100% (367/367),100% (367/367),at least he ' s self aware,being al ert about it cause s a genuine appearance,4,,
5,3IYI9285WS0JK2CGPLOO6C8CZ7RJCA,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3ZPBJO59KP1ZK7LXRJLF3O61ME4HDP,A29IS23K76GS7W,Submitted,Wed Nov 27 09:35:05 PST 2019,Wed Nov 27 09:37:53 PST 2019,Sat Nov 30 09:37:53 PST 2019,,,,168,100% (1/1),100% (1/1),100% (1/1),at least he ' s self aware,being al ert about it cause s a genuine appearance,2,,
6,3UAU495MIIST77KDRP1T8EB4518OU8,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,30BXRYBRP4XYTDLO8EQ5VCVMTU9HWX,A2JAMNGL6SDAHQ,Submitted,Wed Nov 27 09:33:43 PST 2019,Wed Nov 27 09:44:18 PST 2019,Sat Nov 30 09:44:18 PST 2019,,,,635,100% (105/105),100% (105/105),100% (105/105),that s mess ed up she did that in front of u,that is very insensitive of her to do such things in your presence .,1 - Not Similar At All,,
7,3UAU495MIIST77KDRP1T8EB4518OU8,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,32M8BPYGATM2SM68ZR489LADZJYIGS,A2JAK7A44RN2EM,Submitted,Wed Nov 27 09:33:57 PST 2019,Wed Nov 27 09:34:39 PST 2019,Sat Nov 30 09:34:39 PST 2019,,,,42,100% (2/2),100% (2/2),100% (2/2),that s mess ed up she did that in front of u,that is very insensitive of her to do such things in your presence .,5 - Highly Similar,,
8,3UAU495MIIST77KDRP1T8EB4518OU8,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3IRIK4HM3AK9IQV2V4Z0MRZTS0A6CB,A1OZMT7ZSRH9BC,Submitted,Wed Nov 27 09:31:46 PST 2019,Wed Nov 27 09:31:57 PST 2019,Sat Nov 30 09:31:57 PST 2019,,,,11,100% (33/33),100% (33/33),100% (33/33),that s mess ed up she did that in front of u,that is very insensitive of her to do such things in your presence .,5 - Highly Similar,,
9,3DW3BNF1GHIQZUMXPYM27ENN43D8VE,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3DY46V3X3PIS01M9BB2NGFFJ4OC55L,A1SK0GV4SSOH1A,Submitted,Wed Nov 27 09:30:50 PST 2019,Wed Nov 27 09:30:56 PST 2019,Sat Nov 30 09:30:56 PST 2019,,,,6,100% (206/206),100% (206/206),100% (206/206),there are n um  : young frank en s te in rais ing a ri zon a love and death,"there ' s three of  ; em : young frank en s te in , love and death , rais ing a ri zon a .",3,,
