,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
0,3BC9H1KCYUCITPDKSCPSSTU34RDWYL,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851025;OriginalHitTemplateId:928390905;,14400,3K3R2QNK8B3SM3E0F2NC07C1P02U9V,A1E4A904M2LXXU,Submitted,Wed Nov 27 09:03:51 PST 2019,Wed Nov 27 09:04:05 PST 2019,Sat Nov 30 09:04:05 PST 2019,,,,14,0% (0/0),0% (0/0),0% (0/0),take measures in order to,take additional measures to,4,,
1,3BC9H1KCYUCITPDKSCPSSTU34RDWYL,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851025;OriginalHitTemplateId:928390905;,14400,3VNL7UK1XFJMN0QOIJXU57CA9KQFTH,ANVDIM96A57GD,Submitted,Wed Nov 27 09:03:06 PST 2019,Wed Nov 27 09:03:15 PST 2019,Sat Nov 30 09:03:15 PST 2019,,,,9,100% (67/67),100% (67/67),100% (67/67),take measures in order to,take additional measures to,5 - Highly Similar,,
2,3BC9H1KCYUCITPDKSCPSSTU34RDWYL,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851025;OriginalHitTemplateId:928390905;,14400,3WYP994K17RMLTW7RWHPJIRCVN5Y6M,A3DQUOVL81OWGH,Submitted,Wed Nov 27 09:03:30 PST 2019,Wed Nov 27 09:03:38 PST 2019,Sat Nov 30 09:03:38 PST 2019,,,,8,100% (60/60),100% (60/60),100% (60/60),take measures in order to,take additional measures to,3,,
3,3GVPRXWRPHUHDAXEGMVDEP1YLH77IP,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851025;OriginalHitTemplateId:928390905;,14400,3BGYGHDBBXK827KZB9YRK19V03922T,A1UD8IFO0J4GW0,Submitted,Wed Nov 27 09:03:46 PST 2019,Wed Nov 27 09:03:54 PST 2019,Sat Nov 30 09:03:54 PST 2019,,,,8,100% (1/1),100% (1/1),100% (1/1),was seeking to,will strive to,3,,
4,3GVPRXWRPHUHDAXEGMVDEP1YLH77IP,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851025;OriginalHitTemplateId:928390905;,14400,3OLF68YTN91H84RFCJ6DA2MILV6AFS,A1LHZLOG7M6R7T,Submitted,Wed Nov 27 09:04:10 PST 2019,Wed Nov 27 09:04:14 PST 2019,Sat Nov 30 09:04:14 PST 2019,,,,4,100% (45/45),100% (45/45),100% (45/45),was seeking to,will strive to,4,,
5,3GVPRXWRPHUHDAXEGMVDEP1YLH77IP,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851025;OriginalHitTemplateId:928390905;,14400,3U4J9857OEB9CLH10E8XHLT75P77BF,A2DVT1QU9ZKVQB,Submitted,Wed Nov 27 09:02:54 PST 2019,Wed Nov 27 09:03:06 PST 2019,Sat Nov 30 09:03:06 PST 2019,,,,12,100% (1/1),100% (1/1),100% (1/1),was seeking to,will strive to,2,,
6,3TC2K6WK9G2H23OV1O2R59QC75G822,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851025;OriginalHitTemplateId:928390905;,14400,37UQDCYH6XVOLZF75VZXIXNE8HNV79,A3BCGN11HDM8QR,Submitted,Wed Nov 27 09:03:23 PST 2019,Wed Nov 27 09:03:28 PST 2019,Sat Nov 30 09:03:28 PST 2019,,,,5,100% (247/247),100% (247/247),100% (247/247),canada aims to,canada works to,3,,
7,3TC2K6WK9G2H23OV1O2R59QC75G822,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851025;OriginalHitTemplateId:928390905;,14400,39N5ACM9HENFUY64YGOIQ1P2HJBP9V,A1Q890R4148O5G,Submitted,Wed Nov 27 09:04:50 PST 2019,Wed Nov 27 09:05:00 PST 2019,Sat Nov 30 09:05:00 PST 2019,,,,10,100% (53/53),100% (53/53),100% (53/53),canada aims to,canada works to,2,,
8,3TC2K6WK9G2H23OV1O2R59QC75G822,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851025;OriginalHitTemplateId:928390905;,14400,3QY5DC2MXRK1ND5DION4A3YCSYYUFO,A3W3BL8E39MNTX,Submitted,Wed Nov 27 09:04:47 PST 2019,Wed Nov 27 09:04:53 PST 2019,Sat Nov 30 09:04:53 PST 2019,,,,6,100% (5/5),100% (5/5),100% (5/5),canada aims to,canada works to,2,,
9,3RQVKZ7ZRKJD2PJCRJALR9UHWLA279,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851025;OriginalHitTemplateId:928390905;,14400,30BXRYBRP4XYTDLO8EQ5VCVMTTLWHM,A2JUO3H5VTEEM1,Submitted,Wed Nov 27 09:03:47 PST 2019,Wed Nov 27 09:03:54 PST 2019,Sat Nov 30 09:03:54 PST 2019,,,,7,100% (274/274),100% (274/274),100% (274/274),refugees and,refugee population,3,,
