,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
0,3KTZHH2ONIF797SOB6LBKI4ADA28MY,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851038;OriginalHitTemplateId:928390905;,14400,3FFJ6VRIL1O5HIVNLPF5OTNXS2CI0S,A3AKNLEHM8FF4G,Submitted,Wed Nov 27 09:38:20 PST 2019,Wed Nov 27 09:38:39 PST 2019,Sat Nov 30 09:38:39 PST 2019,,,,19,0% (0/0),0% (0/0),0% (0/0),at least he ' s self aware,"i know that this is a random fact , but i once met died re ha ll of , ' day s of our lives , ' on a cruise .",1 - Not Similar At All,,
1,3KTZHH2ONIF797SOB6LBKI4ADA28MY,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851038;OriginalHitTemplateId:928390905;,14400,3PS7W85Z8Z2DMQZBFXX2VBQZ6NOT9Y,A1SK0GV4SSOH1A,Submitted,Wed Nov 27 09:41:16 PST 2019,Wed Nov 27 09:41:21 PST 2019,Sat Nov 30 09:41:21 PST 2019,,,,5,100% (235/235),100% (235/235),100% (235/235),at least he ' s self aware,"i know that this is a random fact , but i once met died re ha ll of , ' day s of our lives , ' on a cruise .",2,,
2,3KTZHH2ONIF797SOB6LBKI4ADA28MY,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851038;OriginalHitTemplateId:928390905;,14400,3QY5DC2MXRK1ND5DION4A3YCSZOFU1,A3D6DQGF78M17W,Submitted,Wed Nov 27 09:38:41 PST 2019,Wed Nov 27 09:38:57 PST 2019,Sat Nov 30 09:38:57 PST 2019,,,,16,100% (25/25),100% (25/25),100% (25/25),at least he ' s self aware,"i know that this is a random fact , but i once met died re ha ll of , ' day s of our lives , ' on a cruise .",1 - Not Similar At All,,
3,3S829FDFT21UKENJ6LY0HRY9V5JDXT,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851038;OriginalHitTemplateId:928390905;,14400,38F71OA9GTWIA5049MWIJTHIFDOMFJ,A1P622HXQAJ990,Submitted,Wed Nov 27 09:42:44 PST 2019,Wed Nov 27 09:42:56 PST 2019,Sat Nov 30 09:42:56 PST 2019,,,,12,100% (1/1),100% (1/1),100% (1/1),you receive so many benefits that you would be much better off if you did not win six - million - five - hundred - thousand dollars .,"he is about n um - n um years old , and he has a crush on me .",1 - Not Similar At All,,
4,3S829FDFT21UKENJ6LY0HRY9V5JDXT,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851038;OriginalHitTemplateId:928390905;,14400,3J88R45B2GY5VUO21WUW64BKONWXPI,A3JV3LY46QZJMB,Submitted,Wed Nov 27 09:44:45 PST 2019,Wed Nov 27 09:45:24 PST 2019,Sat Nov 30 09:45:24 PST 2019,,,,39,0% (0/0),0% (0/0),0% (0/0),you receive so many benefits that you would be much better off if you did not win six - million - five - hundred - thousand dollars .,"he is about n um - n um years old , and he has a crush on me .",1 - Not Similar At All,,
5,3S829FDFT21UKENJ6LY0HRY9V5JDXT,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851038;OriginalHitTemplateId:928390905;,14400,3S4AW7T80BIO67LUPTZKSC52QIO4LA,A1PEEFFG1YL103,Submitted,Wed Nov 27 09:40:26 PST 2019,Wed Nov 27 09:40:43 PST 2019,Sat Nov 30 09:40:43 PST 2019,,,,17,100% (5/5),100% (5/5),100% (5/5),you receive so many benefits that you would be much better off if you did not win six - million - five - hundred - thousand dollars .,"he is about n um - n um years old , and he has a crush on me .",1 - Not Similar At All,,
6,34OWYT6U3WHLRTL7VJTXSLS4G70I9H,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851038;OriginalHitTemplateId:928390905;,14400,34BBWHLWHABYP8W8EW8QVOW1T7TIWW,A1SK0GV4SSOH1A,Submitted,Wed Nov 27 09:41:19 PST 2019,Wed Nov 27 09:41:24 PST 2019,Sat Nov 30 09:41:24 PST 2019,,,,5,100% (235/235),100% (235/235),100% (235/235),and last but not least - -- does he always just happen to be staring . . . ?,this girl does not want a sh it ty man .,2,,
7,34OWYT6U3WHLRTL7VJTXSLS4G70I9H,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851038;OriginalHitTemplateId:928390905;,14400,3KAKFY4PGU21YAUK4CXOQRL4VEYI3P,A2JUO3H5VTEEM1,Submitted,Wed Nov 27 09:41:02 PST 2019,Wed Nov 27 09:41:28 PST 2019,Sat Nov 30 09:41:28 PST 2019,,,,26,100% (411/411),100% (411/411),100% (411/411),and last but not least - -- does he always just happen to be staring . . . ?,this girl does not want a sh it ty man .,3,,
8,34OWYT6U3WHLRTL7VJTXSLS4G70I9H,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851038;OriginalHitTemplateId:928390905;,14400,3P4RDNWND56CJOW97XPB6Y2TRBIJI0,A7FKSW0JXNHFC,Submitted,Wed Nov 27 09:38:49 PST 2019,Wed Nov 27 09:39:23 PST 2019,Sat Nov 30 09:39:23 PST 2019,,,,34,100% (2/2),100% (2/2),100% (2/2),and last but not least - -- does he always just happen to be staring . . . ?,this girl does not want a sh it ty man .,1 - Not Similar At All,,
9,3NRZ1LDP7W6SE6QOCCDGE6V9HOKZPQ,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851038;OriginalHitTemplateId:928390905;,14400,3B3WTRP3DB2J2R5YWID6UOH96AG92R,A1SK0GV4SSOH1A,Submitted,Wed Nov 27 09:48:15 PST 2019,Wed Nov 27 09:48:22 PST 2019,Sat Nov 30 09:48:22 PST 2019,,,,7,100% (235/235),100% (235/235),100% (235/235),"and i have the answer , my music that i sing in the shower .",i hope this doesn ' t end .,1 - Not Similar At All,,
