,text_1,text_2,label,ROUGE-1 recall,ROUGE-1 precision,ROUGE-1 F,ROUGE-2 recall,ROUGE-2 precision,ROUGE-2 F,ROUGE-L recall,ROUGE-L precision,ROUGE-L F,POS dist score,WMD,1-gram_overlap,BertScore,chrf_score_norm,L2_score
0,take measures in order to,take additional measures to,4.0,3.0,3.75,3.3333333333333326,0.0,0.0,0.0,3.0,3.75,3.3333333333333326,0.3441393234944299,1.3821943405170345,3.333333333333333,4.5364,2.5330396475770915,2.0225367444600115
1,was seeking to,will strive to,3.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,3.1978932021961533,1.6666666666666665,4.5531,0.8695652173913044,2.5605850293894306
2,canada aims to,canada works to,2.333,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.3441393234944299,2.06720497991305,3.333333333333333,4.7772,2.6580459770114944,2.115709791593487
3,refugees and,refugee population,2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8534241760290286,2.6302088812420314,0.0,4.3771,2.4752475247524752,4.042454186671828
4,measures and,"instruments , and",3.0,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,2.4969868248662928,2.365261817072428,2.5,4.4446,1.5,2.8808353125386104
5,provide both,", is provided",3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3103585495281727,0.0,4.3124,2.430555555555556,3.5160099257207618
6,policy goals,political goals,4.333,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.3441393234944299,1.510174678382475,2.5,4.9962,2.8061224489795924,2.9050175377704943
7,of non-governmental organisations,for non-governmental organizations,4.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.2398610972539117,0.3986196772394742,2.5,4.9849,4.139433551198258,1.8459752967073397
8,of the service,of services are,3.333,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.498207388892244,1.4366770452486661,1.6666666666666665,4.3603,2.8735632183908053,2.3460415197699196
9,resource availability .,of the resources available .,5.0,1.6666666666666665,1.0,1.25,0.0,0.0,0.0,1.6666666666666665,1.0,1.25,2.019768608104099,1.5336477303776632,0.0,4.5289,2.8571428571428568,2.9341382511614387
10,all nations that,all the countries that,5.0,3.333333333333333,2.5,2.8571428571428577,0.0,0.0,0.0,3.333333333333333,2.5,2.8571428571428577,1.9324851523752264,1.8442096999686173,2.8571428571428568,4.7194,2.0685579196217487,1.2306537261435757
11,now continue,in continuing,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133958988666345,0.0,4.6342,2.951388888888889,3.2932727241837463
12,the issue of,the questions of,3.667,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,2.274476099393755,1.4001643500204055,3.333333333333333,4.5502,1.851851851851852,2.707766208483721
13,not already,there were no,1.6669999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4966897207882885,0.0,4.2675,0.7662835249042145,3.9640677843079715
14,two types,two different types,4.667,5.0,3.333333333333333,4.0,0.0,0.0,0.0,5.0,3.333333333333333,4.0,0.3441393234944299,2.5085729885559926,4.0,4.7025,3.333333333333333,1.840303329201026
15,you doing up there,you doin ' up here,5.0,2.5,2.0,2.2222222222222223,0.0,0.0,0.0,2.5,2.0,2.2222222222222223,0.0,0.9539392748885268,2.5,4.5977,2.849462365591397,1.8817914330217096
16,", religions",religious and,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5409077536107352,0.0,4.1127,2.8735632183908044,4.020011106261375
17,matters that are,"subject matter ,",2.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6040008178665108,2.1864054202177208,0.0,4.0738,1.6666666666666663,3.5836963890062776
18,continues to play an,there continues to be a,3.333,2.5,2.0,2.2222222222222223,1.6666666666666665,1.25,1.4285714285714284,2.5,2.0,2.2222222222222223,0.0,2.211262991789196,2.2222222222222223,4.1475,3.0898876404494384,2.7232470168267064
19,mitigate the consequences,reduce the impact,5.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,2.152551139630687,2.0530160391488645,1.6666666666666665,4.7569,1.1520737327188937,2.57755378855959
20,", in certain instances",", in some instances",4.667,3.75,3.75,3.75,1.6666666666666665,1.6666666666666665,1.6666666666666665,3.75,3.75,3.75,0.3441393234944299,1.5298015218023917,3.333333333333333,4.9176,2.6475694444444446,1.0213479315233072
21,of alternative measures,of other measures,4.667,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.3441393234944299,1.8535236546565792,3.333333333333333,4.7219,2.0519262981574538,2.1046569000472948
22,be improved,be consolidated,3.333,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.0,3.1805182549494666,2.5,4.4238,1.0299625468164797,2.326707765585836
23,p.m. to 4:00 p.m.,a.m. to 4 p.m.,3.0,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.3441393234944299,1.989421350371666,4.0,4.8214,2.8169014084507045,1.5030901575628561
24,did n't he,do n't know what it is,2.667,1.6666666666666665,0.8333333333333333,1.1111111111111112,0.0,0.0,0.0,1.6666666666666665,0.8333333333333333,1.1111111111111112,0.0,2.9198608129531727,1.8181818181818186,4.2735,1.7241379310344829,2.6894411440641144
25,you are about,you 're not gonna,2.667,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,0.0,2.4269969702637444,1.4285714285714284,3.7681,1.4525993883792052,2.6904782977372883
26,police investigations,an investigation,2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1613681475783015,1.6039050666924894,0.0,4.8954,3.1944444444444438,3.7054283431327755
