,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
0,3ODOP6T3ASKGJ21TPLCEOXA75JN42U,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3OS4RQUCR9FMREW7IX695D6O3E3BF2,A3PFUR5M7DOZCZ,Submitted,Wed Nov 27 09:19:10 PST 2019,Wed Nov 27 09:19:23 PST 2019,Sat Nov 30 09:19:23 PST 2019,,,,13,0% (0/0),0% (0/0),0% (0/0),"i ' m confused , what were your asking ?",i am confused . what were you asking ?,5 - Highly Similar,,
1,3ODOP6T3ASKGJ21TPLCEOXA75JN42U,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3W8CV64QJ2ZNHH8GF3GDHSNBVTEH9X,A1WZJ8VFE5TUO6,Submitted,Wed Nov 27 09:20:29 PST 2019,Wed Nov 27 09:20:39 PST 2019,Sat Nov 30 09:20:39 PST 2019,,,,10,100% (11/11),100% (11/11),100% (11/11),"i ' m confused , what were your asking ?",i am confused . what were you asking ?,5 - Highly Similar,,
2,3ODOP6T3ASKGJ21TPLCEOXA75JN42U,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3XUHV3NRVKY4GU64CD3W5CI99XVH56,ACB2YU5F07TX0,Submitted,Wed Nov 27 09:20:26 PST 2019,Wed Nov 27 09:20:32 PST 2019,Sat Nov 30 09:20:32 PST 2019,,,,6,100% (38/38),100% (38/38),100% (38/38),"i ' m confused , what were your asking ?",i am confused . what were you asking ?,2,,
3,3DGDV62G7O928VNCN542RVL2WFIP25,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,33M4IA01QG1Q774HEOYLBZBZP51RXL,A1TIO97G4K0ZFF,Submitted,Wed Nov 27 09:18:18 PST 2019,Wed Nov 27 09:18:29 PST 2019,Sat Nov 30 09:18:29 PST 2019,,,,11,100% (247/247),100% (247/247),100% (247/247),"listen to a real band , e . g . , "" as i lay dying .""",listen to real music like as i lay dying .,2,,
4,3DGDV62G7O928VNCN542RVL2WFIP25,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,39PAAFCODM0BJXCEIY2YNTFWXFSTVZ,A1ARIECD8PX7OT,Submitted,Wed Nov 27 09:20:49 PST 2019,Wed Nov 27 09:20:52 PST 2019,Sat Nov 30 09:20:52 PST 2019,,,,3,0% (0/0),0% (0/0),0% (0/0),"listen to a real band , e . g . , "" as i lay dying .""",listen to real music like as i lay dying .,5 - Highly Similar,,
5,3DGDV62G7O928VNCN542RVL2WFIP25,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,39ZSFO5CA8WHSFR91EEPP1Q4L6SJUV,A2MV1325939NBM,Submitted,Wed Nov 27 09:20:32 PST 2019,Wed Nov 27 09:28:36 PST 2019,Sat Nov 30 09:28:36 PST 2019,,,,484,100% (93/93),100% (93/93),100% (93/93),"listen to a real band , e . g . , "" as i lay dying .""",listen to real music like as i lay dying .,5 - Highly Similar,,
6,3BKZLF990ZZD9SHYG3QM04CHGQZYQM,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,31LM9EDVOLS4XP704D23B6YADAZNJ7,A1PEEFFG1YL103,Submitted,Wed Nov 27 09:21:06 PST 2019,Wed Nov 27 09:21:18 PST 2019,Sat Nov 30 09:21:18 PST 2019,,,,12,0% (0/0),0% (0/0),0% (0/0),you have to call that number !,you have to call the number .,5 - Highly Similar,,
7,3BKZLF990ZZD9SHYG3QM04CHGQZYQM,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3HSYG7LRBJYY03SFPLAZKTHJY4UKKY,A3OHBQIGR1QMK9,Submitted,Wed Nov 27 09:20:40 PST 2019,Wed Nov 27 09:26:01 PST 2019,Sat Nov 30 09:26:01 PST 2019,,,,321,100% (40/40),100% (40/40),100% (40/40),you have to call that number !,you have to call the number .,3,,
8,3BKZLF990ZZD9SHYG3QM04CHGQZYQM,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3QHK8ZVMIMI8R66348970QB80AULBM,A2XC3AM9UZO3EK,Submitted,Wed Nov 27 09:26:08 PST 2019,Wed Nov 27 09:31:39 PST 2019,Sat Nov 30 09:31:39 PST 2019,,,,331,100% (94/94),100% (94/94),100% (94/94),you have to call that number !,you have to call the number .,5 - Highly Similar,,
9,3FHTJGYT8N0SNPVJMKPRTZF36YNPGO,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,31Q0U3WYDPF8ZNZ9YHF8B9GYJEU176,A1SBFOZG5J97Z1,Submitted,Wed Nov 27 09:20:07 PST 2019,Wed Nov 27 11:06:18 PST 2019,Sat Nov 30 11:06:18 PST 2019,,,,6371,0% (0/0),0% (0/0),0% (0/0),i do not care for large breasts .,i don ' t like large breasts .,1 - Not Similar At All,,
10,3FHTJGYT8N0SNPVJMKPRTZF36YNPGO,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3E47SOBEYQWPBAQ3X58PJUPY1RWCI2,A1Q890R4148O5G,Submitted,Wed Nov 27 09:20:32 PST 2019,Wed Nov 27 09:20:42 PST 2019,Sat Nov 30 09:20:42 PST 2019,,,,10,100% (74/74),100% (74/74),100% (74/74),i do not care for large breasts .,i don ' t like large breasts .,4,,
11,3FHTJGYT8N0SNPVJMKPRTZF36YNPGO,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3YJ6NA41JBG40AJDKSFVFV35DP0PJ5,A2FJDUJZ38B9XL,Submitted,Wed Nov 27 09:21:06 PST 2019,Wed Nov 27 09:21:17 PST 2019,Sat Nov 30 09:21:17 PST 2019,,,,11,100% (66/66),100% (66/66),100% (66/66),i do not care for large breasts .,i don ' t like large breasts .,5 - Highly Similar,,
12,3RWO3EJELH9VJA5G414OMCBX494P1O,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,358UUM7WRZ3WSSYQWBUNH0YBNCN7R7,A28U1GCCY9R6O4,Submitted,Wed Nov 27 09:18:36 PST 2019,Wed Nov 27 09:18:43 PST 2019,Sat Nov 30 09:18:43 PST 2019,,,,7,100% (68/68),100% (68/68),100% (68/68),you are right . you did the right thing .,you are absolutely correct that you did the right thing .,5 - Highly Similar,,
13,3RWO3EJELH9VJA5G414OMCBX494P1O,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,358UUM7WRZ3WSSYQWBUNH0YBNCP7R9,A3746TDKYH8SJ9,Submitted,Wed Nov 27 09:21:12 PST 2019,Wed Nov 27 09:21:28 PST 2019,Sat Nov 30 09:21:28 PST 2019,,,,16,100% (142/142),100% (142/142),100% (142/142),you are right . you did the right thing .,you are absolutely correct that you did the right thing .,4,,
14,3RWO3EJELH9VJA5G414OMCBX494P1O,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3WSELTNVR32RR99G73B2R61JC5TATH,A1PR75OOJOLBA2,Submitted,Wed Nov 27 09:22:39 PST 2019,Wed Nov 27 09:22:43 PST 2019,Sat Nov 30 09:22:43 PST 2019,,,,4,100% (328/328),100% (328/328),100% (328/328),you are right . you did the right thing .,you are absolutely correct that you did the right thing .,4,,
15,3GV1I4SEO9P0ZBRFIFNY0RTU7AK6L6,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,30BXRYBRP4XYTDLO8EQ5VCVMTUXHWL,A3FPQGM967TJER,Submitted,Wed Nov 27 09:18:24 PST 2019,Wed Nov 27 09:18:50 PST 2019,Sat Nov 30 09:18:50 PST 2019,,,,26,0% (0/0),0% (0/0),0% (0/0),i am tell ing you this from my personal experience .,i am tell ing you this from personal experience .,5 - Highly Similar,,
