,text_1,text_2,label,POS dist score,1-gram_overlap,chrf_score_norm,WMD,ROUGE-1 recall,ROUGE-1 precision,ROUGE-1 F,ROUGE-2 recall,ROUGE-2 precision,ROUGE-2 F,ROUGE-L recall,ROUGE-L precision,ROUGE-L F,BertScore,L2_score
0,take measures in order to,take additional measures to,4.0,5.0,3.333333333333333,2.5330396475770915,1.3821943405170345,3.0,3.75,3.3333333333333326,0.0,0.0,0.0,3.0,3.75,3.3333333333333326,4.5364,2.6211377288721938
1,was seeking to,will strive to,3.0,0.0,1.6666666666666665,0.8695652173913044,3.1978932021961533,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,4.5531,2.1474799408341996
2,canada aims to,canada works to,2.333,5.0,3.333333333333333,2.6580459770114944,2.06720497991305,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,4.7772,2.539115091413567
3,refugees and,refugee population,2.667,2.305240612979501,0.0,2.4752475247524752,2.6302088812420314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3771,0.8429522862349801
4,measures and,"instruments , and",3.0,2.6880241367234485,2.5,1.5,2.365261817072428,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,4.4446,1.865555353424948
5,provide both,", is provided",3.667,0.0,0.0,2.430555555555556,2.3103585495281727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3124,1.3063947525558035
6,policy goals,political goals,4.333,5.0,2.5,2.8061224489795924,1.510174678382475,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,4.9962,1.8442671165993754
7,of non-governmental organisations,for non-governmental organizations,4.0,4.038070685534602,2.5,4.139433551198258,0.3986196772394742,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,4.9849,2.7765693269977914
8,of the service,of services are,3.333,3.7606286510875653,1.6666666666666665,2.8735632183908053,1.4366770452486661,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,4.3603,2.3363481280408855
9,resource availability .,of the resources available .,5.0,3.2005160795884215,0.0,2.8571428571428568,1.5336477303776632,1.6666666666666665,1.0,1.25,0.0,0.0,0.0,1.6666666666666665,1.0,1.25,4.5289,1.8186314012236586
10,all nations that,all the countries that,5.0,3.294251117848182,2.8571428571428568,2.0685579196217487,1.8442096999686173,3.333333333333333,2.5,2.8571428571428577,0.0,0.0,0.0,3.333333333333333,2.5,2.8571428571428577,4.7194,3.3182527821983405
11,now continue,in continuing,4.0,0.0,0.0,2.951388888888889,2.133958988666345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6342,1.5024760581725203
12,the issue of,the questions of,3.667,2.9269818084976196,3.333333333333333,1.851851851851852,1.4001643500204055,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,4.5502,2.0179125512833336
13,not already,there were no,1.6669999999999998,0.0,0.0,0.7662835249042145,3.4966897207882885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2675,0.9119578587753541
14,two types,two different types,4.667,5.0,4.0,3.333333333333333,2.5085729885559926,5.0,3.333333333333333,4.0,0.0,0.0,0.0,5.0,3.333333333333333,4.0,4.7025,2.781562506342683
15,you doing up there,you doin ' up here,5.0,0.0,2.5,2.849462365591397,0.9539392748885268,2.5,2.0,2.2222222222222223,0.0,0.0,0.0,2.5,2.0,2.2222222222222223,4.5977,2.7450394580661266
16,", religions",religious and,3.333,0.0,0.0,2.8735632183908044,1.5409077536107352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1127,0.8627095090005339
17,matters that are,"subject matter ,",2.333,3.6470154694172865,0.0,1.6666666666666663,2.1864054202177208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0738,1.2468086124677664
18,continues to play an,there continues to be a,3.333,0.0,2.2222222222222223,3.0898876404494384,2.211262991789196,2.5,2.0,2.2222222222222223,1.6666666666666665,1.25,1.4285714285714284,2.5,2.0,2.2222222222222223,4.1475,2.004284396260517
19,mitigate the consequences,reduce the impact,5.0,3.0579188878418604,1.6666666666666665,1.1520737327188937,2.0530160391488645,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,4.7569,2.132541904305858
20,", in certain instances",", in some instances",4.667,5.0,3.333333333333333,2.6475694444444446,1.5298015218023917,3.75,3.75,3.75,1.6666666666666665,1.6666666666666665,1.6666666666666665,3.75,3.75,3.75,4.9176,3.502510073746768
21,of alternative measures,of other measures,4.667,5.0,3.333333333333333,2.0519262981574538,1.8535236546565792,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,4.7219,2.548845237030293
22,be improved,be consolidated,3.333,0.0,2.5,1.0299625468164797,3.1805182549494666,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,4.4238,2.353368130701994
