,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
0,3MQKOF1EE2OFVEITWG2EF8K2M39WDF,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851028;OriginalHitTemplateId:928390905;,14400,39GAF6DQWR0AAD05GFIOHNW15WUV1L,A8TIL9U6YHG5,Submitted,Wed Nov 27 09:11:46 PST 2019,Wed Nov 27 09:11:54 PST 2019,Sat Nov 30 09:11:54 PST 2019,,,,8,100% (64/64),100% (64/64),100% (64/64),the calzones are awesome and the lunch special they have is perfect .,the calzones are awful and the lunch special they have is pathetic .,1 - Not Similar At All,,
1,3MQKOF1EE2OFVEITWG2EF8K2M39WDF,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851028;OriginalHitTemplateId:928390905;,14400,3CFJTT4SXTQJZTV76O0E38XK0GZ7IY,A3JD6IDODWJN98,Submitted,Wed Nov 27 09:11:42 PST 2019,Wed Nov 27 09:15:31 PST 2019,Sat Nov 30 09:15:31 PST 2019,,,,229,100% (33/33),100% (33/33),100% (33/33),the calzones are awesome and the lunch special they have is perfect .,the calzones are awful and the lunch special they have is pathetic .,4,,
2,3MQKOF1EE2OFVEITWG2EF8K2M39WDF,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851028;OriginalHitTemplateId:928390905;,14400,3RWE2M8QWHAXVJ6EI5SXT1JEE1N0N7,A2Z5WHZ0A2JJ6A,Submitted,Wed Nov 27 09:12:03 PST 2019,Wed Nov 27 09:12:13 PST 2019,Sat Nov 30 09:12:13 PST 2019,,,,10,100% (34/34),100% (34/34),100% (34/34),the calzones are awesome and the lunch special they have is perfect .,the calzones are awful and the lunch special they have is pathetic .,1 - Not Similar At All,,
3,3I7SHAD35MW39TN511T56I8F2QS7M6,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851028;OriginalHitTemplateId:928390905;,14400,32SCWG5HIH4SCF4609L66RY0RJ76P7,A3TKUXUTDX6FBF,Submitted,Wed Nov 27 09:07:55 PST 2019,Wed Nov 27 09:08:03 PST 2019,Sat Nov 30 09:08:03 PST 2019,,,,8,100% (5/5),100% (5/5),100% (5/5),"the food was mediocre at best , far too greasy and not cooked well .","the food was great , not too greasy and cooked well .",4,,
4,3I7SHAD35MW39TN511T56I8F2QS7M6,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851028;OriginalHitTemplateId:928390905;,14400,3JPSL1DZ5SZTWW4WA7PQI7VRNNWNAI,A24JKHC4HTY6CD,Submitted,Wed Nov 27 09:08:34 PST 2019,Wed Nov 27 09:14:18 PST 2019,Sat Nov 30 09:14:18 PST 2019,,,,344,100% (59/59),100% (59/59),100% (59/59),"the food was mediocre at best , far too greasy and not cooked well .","the food was great , not too greasy and cooked well .",3,,
5,3I7SHAD35MW39TN511T56I8F2QS7M6,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851028;OriginalHitTemplateId:928390905;,14400,3QXNC7EIPIVC6H2KHV9SB0OU9C4096,ABBMKMTKDC065,Submitted,Wed Nov 27 09:09:08 PST 2019,Wed Nov 27 09:09:16 PST 2019,Sat Nov 30 09:09:16 PST 2019,,,,8,100% (57/57),100% (57/57),100% (57/57),"the food was mediocre at best , far too greasy and not cooked well .","the food was great , not too greasy and cooked well .",4,,
6,3RDTX9JRTY1O294BCSP01W2V2RL979,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851028;OriginalHitTemplateId:928390905;,14400,38YMOXR4MUZIWO17CVZ1YL6WKGB6W3,A3V8FN8YW3YHAV,Submitted,Wed Nov 27 09:09:20 PST 2019,Wed Nov 27 09:09:27 PST 2019,Sat Nov 30 09:09:27 PST 2019,,,,7,100% (3/3),100% (3/3),100% (3/3),"had one mediocre meal and said , `` we 'll try again `` .","had one great meal and said , `` we 'll try again . ''",2,,
7,3RDTX9JRTY1O294BCSP01W2V2RL979,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851028;OriginalHitTemplateId:928390905;,14400,3CPLWGV3MOZFRDURI1BQMCK7H5FN94,A3BCGN11HDM8QR,Submitted,Wed Nov 27 09:09:32 PST 2019,Wed Nov 27 09:09:37 PST 2019,Sat Nov 30 09:09:37 PST 2019,,,,5,100% (283/283),100% (283/283),100% (283/283),"had one mediocre meal and said , `` we 'll try again `` .","had one great meal and said , `` we 'll try again . ''",2,,
8,3RDTX9JRTY1O294BCSP01W2V2RL979,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851028;OriginalHitTemplateId:928390905;,14400,3TS1AR6UQQEZP2TH5GUT0BKSKO87F8,A2BA1R9MAHHWJH,Submitted,Wed Nov 27 09:13:05 PST 2019,Wed Nov 27 09:15:31 PST 2019,Sat Nov 30 09:15:31 PST 2019,,,,146,100% (133/133),100% (133/133),100% (133/133),"had one mediocre meal and said , `` we 'll try again `` .","had one great meal and said , `` we 'll try again . ''",4,,
9,3ZTE0JGGCESXLD3D5YGTE8PYY1YOCV,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851028;OriginalHitTemplateId:928390905;,14400,37M28K1J0QDXD6DBV9XYP0EAE3VAJ5,AFQIHS5XX58NR,Submitted,Wed Nov 27 09:13:31 PST 2019,Wed Nov 27 09:13:36 PST 2019,Sat Nov 30 09:13:36 PST 2019,,,,5,100% (158/158),100% (158/158),100% (158/158),the food is worse than you find in the freezer section at walmart .,the food is way better than you find in the freezer section at walmart .,3,,
