,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
0,3XBXDSS888JDIQBBJ2WO046E4EBLX7,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,32Z9ZLUT1LKQO4CMHSZVEII0QREHON,A47E0Z3LTH37V,Submitted,Wed Nov 27 08:49:53 PST 2019,Wed Nov 27 08:50:01 PST 2019,Sat Nov 30 08:50:01 PST 2019,,,,8,100% (47/47),100% (47/47),100% (47/47),"The word of the Lord which came to Joel , the son of Pethuel .","`And I send messengers from the wilderness of Kedemoth , unto Sihon king of Heshbon , -- words of peace -- saying ,",3,,
1,3XBXDSS888JDIQBBJ2WO046E4EBLX7,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,39LOEL67OS5894I7VQLXD2RQSHS38Z,A1SK0GV4SSOH1A,Submitted,Wed Nov 27 08:49:11 PST 2019,Wed Nov 27 08:49:17 PST 2019,Sat Nov 30 08:49:17 PST 2019,,,,6,100% (113/113),100% (113/113),100% (113/113),"The word of the Lord which came to Joel , the son of Pethuel .","`And I send messengers from the wilderness of Kedemoth , unto Sihon king of Heshbon , -- words of peace -- saying ,",4,,
2,3XBXDSS888JDIQBBJ2WO046E4EBLX7,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3A9AA95ATWMWTB4SVQB1ELK0VNHP5T,AZYMR3317SUFN,Submitted,Wed Nov 27 08:46:39 PST 2019,Wed Nov 27 08:46:49 PST 2019,Sat Nov 30 08:46:49 PST 2019,,,,10,100% (22/22),100% (22/22),100% (22/22),"The word of the Lord which came to Joel , the son of Pethuel .","`And I send messengers from the wilderness of Kedemoth , unto Sihon king of Heshbon , -- words of peace -- saying ,",1 - Not Similar At All,,
3,304QEQWKZPKDRL8XTIN9J7NXPCW0O9,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,337RC3OW052N0K499P07125F31HVL7,A3SXLBX06D9FP9,Approved,Wed Nov 27 08:45:28 PST 2019,Wed Nov 27 08:45:53 PST 2019,Sat Nov 30 08:45:53 PST 2019,Wed Nov 27 11:36:44 PST 2019,,,25,100% (30/30),100% (30/30),100% (30/30),"And Ibneiah , the son of Jeroham , and Elah , the son of Uzzi , the son of Michri , and Meshullam , the son of Shephatiah , the son of Reuel , the son of Ibnijah ;","We would have cured Babylon , but she is not healed : let us forsake her , and let us go every man to his own land : because her judgment hath reached even to the heavens , and is lifted up to the clouds .",1 - Not Similar At All,,
4,304QEQWKZPKDRL8XTIN9J7NXPCW0O9,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,39RP059MEHTSXOOO4KAM03QX0ESBMK,AE7UECBR4D5E6,Approved,Wed Nov 27 08:45:48 PST 2019,Wed Nov 27 08:45:59 PST 2019,Sat Nov 30 08:45:59 PST 2019,Wed Nov 27 11:36:44 PST 2019,,,11,100% (101/101),100% (101/101),100% (101/101),"And Ibneiah , the son of Jeroham , and Elah , the son of Uzzi , the son of Michri , and Meshullam , the son of Shephatiah , the son of Reuel , the son of Ibnijah ;","We would have cured Babylon , but she is not healed : let us forsake her , and let us go every man to his own land : because her judgment hath reached even to the heavens , and is lifted up to the clouds .",4,,
5,304QEQWKZPKDRL8XTIN9J7NXPCW0O9,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3EFVCAY5L39JUIKWYBDKT98FOEBJ8O,A2JUO3H5VTEEM1,Approved,Wed Nov 27 08:44:18 PST 2019,Wed Nov 27 08:44:23 PST 2019,Sat Nov 30 08:44:23 PST 2019,Wed Nov 27 11:36:44 PST 2019,,,5,100% (197/197),100% (197/197),100% (197/197),"And Ibneiah , the son of Jeroham , and Elah , the son of Uzzi , the son of Michri , and Meshullam , the son of Shephatiah , the son of Reuel , the son of Ibnijah ;","We would have cured Babylon , but she is not healed : let us forsake her , and let us go every man to his own land : because her judgment hath reached even to the heavens , and is lifted up to the clouds .",3,,
6,30F94FBDNRKUO0GFNF6XXYP3FO9TB9,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3IKZ72A5B4GOSNL4LNBIW86IK2TFN5,A3JD6IDODWJN98,Approved,Wed Nov 27 08:44:52 PST 2019,Wed Nov 27 08:46:03 PST 2019,Sat Nov 30 08:46:03 PST 2019,Wed Nov 27 11:36:50 PST 2019,,,71,100% (25/25),100% (25/25),100% (25/25),"When therefore he was gone out , Jesus saith , Now is the Son of man glorified , and God is glorified in him ;","Jehovah bringeth on thee , and on thy people , And on the house of thy father , Days that have not come , Even from the day of the turning aside of Ephraim from Judah , By the king of Asshur .",2,,
7,30F94FBDNRKUO0GFNF6XXYP3FO9TB9,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3M0BCWMB8VWO20I28MG991SOYG5WBV,A1TIO97G4K0ZFF,Approved,Wed Nov 27 08:45:48 PST 2019,Wed Nov 27 08:48:03 PST 2019,Sat Nov 30 08:48:03 PST 2019,Wed Nov 27 11:36:50 PST 2019,,,135,100% (166/166),100% (166/166),100% (166/166),"When therefore he was gone out , Jesus saith , Now is the Son of man glorified , and God is glorified in him ;","Jehovah bringeth on thee , and on thy people , And on the house of thy father , Days that have not come , Even from the day of the turning aside of Ephraim from Judah , By the king of Asshur .",2,,
8,30F94FBDNRKUO0GFNF6XXYP3FO9TB9,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3TY7ZAOG5FKWNDLBLS0H192AK50K02,A12BPQY35PARUO,Approved,Wed Nov 27 08:46:27 PST 2019,Wed Nov 27 08:46:37 PST 2019,Sat Nov 30 08:46:37 PST 2019,Wed Nov 27 11:36:50 PST 2019,,,10,100% (47/47),100% (47/47),100% (47/47),"When therefore he was gone out , Jesus saith , Now is the Son of man glorified , and God is glorified in him ;","Jehovah bringeth on thee , and on thy people , And on the house of thy father , Days that have not come , Even from the day of the turning aside of Ephraim from Judah , By the king of Asshur .",1 - Not Similar At All,,
9,3JAOYN9IHL2KMOE8T7L0X2NTXXK33C,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3634BBTX0OUWEMADO7YQR0A1Y3ZIFS,A2JUO3H5VTEEM1,Approved,Wed Nov 27 08:45:04 PST 2019,Wed Nov 27 08:45:13 PST 2019,Sat Nov 30 08:45:13 PST 2019,Wed Nov 27 23:16:50 PST 2019,,,9,100% (197/197),100% (197/197),100% (197/197),"When the child was grown , one day he went out to his father to the reapers .",These were the settings forward of the children of Israel according to their hosts : so did they set forward .,4,,
