,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
0,3SZYX62S5G051M2Z92CJPGXTGVY75C,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851012;OriginalHitTemplateId:928390905;,14400,39ASUFLU6X71Y3ZCSIELCSCGAFUEXC,A3DQUOVL81OWGH,Submitted,Wed Nov 27 08:55:33 PST 2019,Wed Nov 27 08:55:42 PST 2019,Sat Nov 30 08:55:42 PST 2019,,,,9,100% (55/55),100% (55/55),100% (55/55),when be buddhism religion found ?,where and when be the religion found ?,2,,
1,3SZYX62S5G051M2Z92CJPGXTGVY75C,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851012;OriginalHitTemplateId:928390905;,14400,3IKZ72A5B4GOSNL4LNBIW86IK20NFK,AXBFJUI5IFJX2,Submitted,Wed Nov 27 08:57:13 PST 2019,Wed Nov 27 08:57:26 PST 2019,Sat Nov 30 08:57:26 PST 2019,,,,13,0% (0/0),0% (0/0),0% (0/0),when be buddhism religion found ?,where and when be the religion found ?,5 - Highly Similar,,
2,3SZYX62S5G051M2Z92CJPGXTGVY75C,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851012;OriginalHitTemplateId:928390905;,14400,3IXQG4FA2TYDQ45UFB6HVHKD0FR9BP,A3TUMZ954ORSUC,Submitted,Wed Nov 27 08:57:09 PST 2019,Wed Nov 27 08:57:20 PST 2019,Sat Nov 30 08:57:20 PST 2019,,,,11,0% (0/0),0% (0/0),0% (0/0),when be buddhism religion found ?,where and when be the religion found ?,3,,
3,3D1UCPY6GG96NLKE5OGWOJV4DJD83A,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851012;OriginalHitTemplateId:928390905;,14400,37QW5D2ZRGMCTL3ML5MYLAZ2KXW8S1,A1PR75OOJOLBA2,Submitted,Wed Nov 27 08:57:50 PST 2019,Wed Nov 27 08:57:54 PST 2019,Sat Nov 30 08:57:54 PST 2019,,,,4,100% (229/229),100% (229/229),100% (229/229),man satisfy when semen get out wat about girl how they get satisfy ?,how do you make girl satisfy ?,3,,
4,3D1UCPY6GG96NLKE5OGWOJV4DJD83A,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851012;OriginalHitTemplateId:928390905;,14400,3FQ5JJ512LOZ89DIMY2FCLYNSYJKNL,AE7UECBR4D5E6,Submitted,Wed Nov 27 09:00:23 PST 2019,Wed Nov 27 09:00:39 PST 2019,Sat Nov 30 09:00:39 PST 2019,,,,16,100% (119/119),100% (119/119),100% (119/119),man satisfy when semen get out wat about girl how they get satisfy ?,how do you make girl satisfy ?,3,,
5,3D1UCPY6GG96NLKE5OGWOJV4DJD83A,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851012;OriginalHitTemplateId:928390905;,14400,3QJOXOW4XJRQ4R08EBCC1BWI3BCEMU,A3IDU0PGLK1H1F,Submitted,Wed Nov 27 08:58:20 PST 2019,Wed Nov 27 09:11:27 PST 2019,Sat Nov 30 09:11:27 PST 2019,,,,787,100% (53/53),100% (53/53),100% (53/53),man satisfy when semen get out wat about girl how they get satisfy ?,how do you make girl satisfy ?,3,,
6,3V0TR1NRVA25O5WX205TUFT5H794AV,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851012;OriginalHitTemplateId:928390905;,14400,38F71OA9GTWIA5049MWIJTHIFCRFMD,A1OZMT7ZSRH9BC,Submitted,Wed Nov 27 08:58:44 PST 2019,Wed Nov 27 08:58:51 PST 2019,Sat Nov 30 08:58:51 PST 2019,,,,7,100% (7/7),100% (7/7),100% (7/7),how hot be kathy brennan ?,who be jeff brennan ?,1 - Not Similar At All,,
7,3V0TR1NRVA25O5WX205TUFT5H794AV,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851012;OriginalHitTemplateId:928390905;,14400,3LBXNTKX0RVK378VK7YZKEB5JIG9XZ,A9ZM1P6LBW79,Submitted,Wed Nov 27 08:58:21 PST 2019,Wed Nov 27 08:58:34 PST 2019,Sat Nov 30 08:58:34 PST 2019,,,,13,0% (0/0),0% (0/0),0% (0/0),how hot be kathy brennan ?,who be jeff brennan ?,2,,
8,3V0TR1NRVA25O5WX205TUFT5H794AV,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851012;OriginalHitTemplateId:928390905;,14400,3WJEQKOXA82QIPX75KRSL0IOKLI1AD,A2JUO3H5VTEEM1,Submitted,Wed Nov 27 08:56:07 PST 2019,Wed Nov 27 08:56:13 PST 2019,Sat Nov 30 08:56:13 PST 2019,,,,6,100% (233/233),100% (233/233),100% (233/233),how hot be kathy brennan ?,who be jeff brennan ?,4,,
9,3VW0145YLYCWTOO72AI298DOTLOJML,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851012;OriginalHitTemplateId:928390905;,14400,34J10VATJFYT5B0M2N9K3ZEF55FQI1,A23WEAVGAOC5XZ,Submitted,Wed Nov 27 08:57:30 PST 2019,Wed Nov 27 08:57:37 PST 2019,Sat Nov 30 08:57:37 PST 2019,,,,7,100% (22/22),100% (22/22),100% (22/22),how do you change a ford focus sidelight bulb ?,headlight on a 2006 ford focus ?,4,,
