,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
0,3BC9H1KCYUCITPDKSCPSSTU34RHYWR,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851035;OriginalHitTemplateId:928390905;,14400,32Z9ZLUT1LKQO4CMHSZVEII0QS4HOF,ACKF1WBCKVLY3,Submitted,Wed Nov 27 09:26:03 PST 2019,Wed Nov 27 09:26:09 PST 2019,Sat Nov 30 09:26:09 PST 2019,,,,6,100% (238/238),100% (238/238),100% (238/238),i do not care for large breasts .,"well , he is a father now also .",4,,
1,3BC9H1KCYUCITPDKSCPSSTU34RHYWR,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851035;OriginalHitTemplateId:928390905;,14400,39N5ACM9HENFUY64YGOIQ1P2HKR9PX,A1TIYKHCE0YHKR,Submitted,Wed Nov 27 09:24:29 PST 2019,Wed Nov 27 09:24:45 PST 2019,Sat Nov 30 09:24:45 PST 2019,,,,16,100% (56/56),100% (56/56),100% (56/56),i do not care for large breasts .,"well , he is a father now also .",1 - Not Similar At All,,
2,3BC9H1KCYUCITPDKSCPSSTU34RHYWR,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851035;OriginalHitTemplateId:928390905;,14400,3TS1AR6UQQEZP2TH5GUT0BKSKOH7FH,A1PR75OOJOLBA2,Submitted,Wed Nov 27 09:25:49 PST 2019,Wed Nov 27 09:25:54 PST 2019,Sat Nov 30 09:25:54 PST 2019,,,,5,100% (343/343),100% (343/343),100% (343/343),i do not care for large breasts .,"well , he is a father now also .",3,,
3,34YWR3PJ28A0LUMPU9A52KEQ1G90XM,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851035;OriginalHitTemplateId:928390905;,14400,392CY0QWG1RMG6DO4Q270WDA9EII4Y,A1TIYKHCE0YHKR,Submitted,Wed Nov 27 09:24:47 PST 2019,Wed Nov 27 09:25:04 PST 2019,Sat Nov 30 09:25:04 PST 2019,,,,17,100% (56/56),100% (56/56),100% (56/56),i hope that you find this one funny .,some guys do not like girls playing with their behind s .,1 - Not Similar At All,,
4,34YWR3PJ28A0LUMPU9A52KEQ1G90XM,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851035;OriginalHitTemplateId:928390905;,14400,3OF2M9AATGOTPYR1PMD9785W2DCZK4,A1E5SYFT1FA3J7,Submitted,Wed Nov 27 09:28:17 PST 2019,Wed Nov 27 09:28:37 PST 2019,Sat Nov 30 09:28:37 PST 2019,,,,20,100% (53/53),100% (53/53),100% (53/53),i hope that you find this one funny .,some guys do not like girls playing with their behind s .,1 - Not Similar At All,,
5,34YWR3PJ28A0LUMPU9A52KEQ1G90XM,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851035;OriginalHitTemplateId:928390905;,14400,3TK8OJTYM1LDR5J71HTEIJEZ8CAPVT,A380YF6Y0HY00O,Submitted,Wed Nov 27 09:25:09 PST 2019,Wed Nov 27 09:25:29 PST 2019,Sat Nov 30 09:25:29 PST 2019,,,,20,100% (2/2),100% (2/2),100% (2/2),i hope that you find this one funny .,some guys do not like girls playing with their behind s .,1 - Not Similar At All,,
6,3D17ECOUOEVOCL0T637H998WZDE13Q,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851035;OriginalHitTemplateId:928390905;,14400,35USIKEBNRGS9USTKU8E22T5R4J6NO,AFQIHS5XX58NR,Submitted,Wed Nov 27 09:25:32 PST 2019,Wed Nov 27 09:25:36 PST 2019,Sat Nov 30 09:25:36 PST 2019,,,,4,100% (198/198),100% (198/198),100% (198/198),"i ' m confused , what were your asking ?",not having sexual relations is very beneficial when the woman is gro tes que .,2,,
7,3D17ECOUOEVOCL0T637H998WZDE13Q,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851035;OriginalHitTemplateId:928390905;,14400,3OCHAWUVGOK4K3RMO4POANPLUDEXK5,A1NRZ7O1TEJB1V,Submitted,Wed Nov 27 09:27:36 PST 2019,Wed Nov 27 09:29:50 PST 2019,Sat Nov 30 09:29:50 PST 2019,,,,134,100% (158/158),100% (158/158),100% (158/158),"i ' m confused , what were your asking ?",not having sexual relations is very beneficial when the woman is gro tes que .,3,,
8,3D17ECOUOEVOCL0T637H998WZDE13Q,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851035;OriginalHitTemplateId:928390905;,14400,3W92K5RLWUH9YV1OH2K0KD9IHCA5VO,AEAQ16BXD3F81,Submitted,Wed Nov 27 09:25:16 PST 2019,Wed Nov 27 09:25:29 PST 2019,Sat Nov 30 09:25:29 PST 2019,,,,13,0% (0/0),0% (0/0),0% (0/0),"i ' m confused , what were your asking ?",not having sexual relations is very beneficial when the woman is gro tes que .,3,,
9,3UXQ63NLAAM65N8AE646B7FMLBVLB6,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851035;OriginalHitTemplateId:928390905;,14400,31Z0PCVWUKF987BI00ZIHFZTBXOT7A,AGGJUBFTYXCCZ,Submitted,Wed Nov 27 09:24:55 PST 2019,Wed Nov 27 09:25:36 PST 2019,Sat Nov 30 09:25:36 PST 2019,,,,41,100% (1/1),100% (1/1),100% (1/1),"listen to a real band , e . g . , "" as i lay dying .""","to that , the girl responds no .",1 - Not Similar At All,,
